Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,9,0.994140625,0.5872010560015042,5.409882545471191,True
1,9,1.0,0.5554888060032681,5.516196250915527,True
2,5,0.91015625,0.5636583820014494,5.350775718688965,True
3,9,0.98828125,0.5588385420014674,5.353889465332031,True
4,3,0.947265625,0.5560865410006954,5.349905014038086,True
5,1,0.947265625,0.5461375769991719,5.349504470825195,True
6,8,0.95703125,0.5391170149996469,5.356321334838867,True
7,1,0.923828125,0.5612723119993461,5.367155075073242,True
8,9,0.9609375,0.5617614690017945,5.346100807189941,True
9,1,0.923828125,0.6474817359994631,5.343324661254883,True
10,9,0.91796875,0.5670811599993613,5.347830772399902,False
11,8,0.85546875,0.5347103549975145,5.34523868560791,False
12,8,0.8984375,0.6057240789996285,5.05935001373291,False
13,9,0.912109375,0.5737409169996681,5.373051643371582,False
14,1,0.8671875,0.5510515919995669,5.351685523986816,False
15,4,0.8828125,0.5660106489995087,5.352902412414551,False
16,9,0.96484375,0.5636150930004078,5.352843284606934,False
17,13,0.87109375,0.55905503699978,5.369663238525391,True
18,12,0.9453125,0.5557949180001742,5.362364768981934,True
19,4,0.869140625,0.5534034169977531,5.369956970214844,False
