Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,13,382.7259181523425,0.01122999699873617,2.3231592178344727,False
1,13,413.3095121837868,0.010025532999861753,2.321427345275879,False
2,10,322.57129513374184,0.013475027997628786,2.3254404067993164,False
3,11,414.1359918051609,0.017244589998881565,2.32509708404541,False
4,10,335.60982237247305,0.013425566998193972,2.327683448791504,False
5,18,462.10997866794963,0.012505057999078417,2.32253360748291,False
6,16,412.944578429285,0.011410874998546205,2.3261194229125977,False
7,10,428.4972749525183,0.01144757400106755,2.3251733779907227,False
8,13,412.8835498401027,0.013354792001337046,2.3226709365844727,False
9,10,239.07267033127187,0.013205552000727039,2.3279199600219727,False
10,13,410.1553008162086,0.011880531998031074,2.3205270767211914,True
11,13,421.8753486712866,0.011362007000570884,2.32912540435791,True
12,11,438.43624437473227,0.013126148998708231,2.3259668350219727,True
13,3,444.81213713078245,0.015251382003043545,2.326226234436035,False
14,11,310.21336754640424,0.013680323001608485,2.32656192779541,True
15,3,477.5661069522385,0.01824430400301935,2.3259057998657227,False
16,3,360.1667344637317,0.013614355000754585,2.3267602920532227,False
17,9,473.2009024980764,0.012383739998767851,2.32747745513916,False
18,13,473.79396790989017,0.011545097000634996,2.3283090591430664,True
19,11,414.1276949331978,0.01834877000146662,2.3259363174438477,True
