Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
7,122,11.345169181564144,0.040507350997359026,32.13441848754883,True
12,43,3.484920692155648,0.06379546099924482,32.13600730895996,True
27,43,22.23199484650138,0.04726459900120972,32.140828132629395,True
41,64,13.411358152101998,0.03727514899946982,32.14534950256348,True
48,64,9.812070801965033,0.06309764599791379,32.14177894592285,True
58,64,4.78510638669061,0.06198330099869054,32.1352481842041,True
61,174,25.528659840043638,0.08096780199775822,32.134735107421875,False
65,215,21.941549073927703,0.04897555799834663,32.13846015930176,False
69,174,6.006806084434057,0.06622203599908971,32.13493728637695,False
83,127,18.398787379618003,0.06542402500053868,32.146156311035156,False
93,64,8.298339765258627,0.0650187149985868,32.13916015625,True
102,122,10.307852973762328,0.023620796000614064,32.13259410858154,True
106,54,5.270689589052176,0.02447254599974258,32.141629219055176,True
125,238,15.549806465472573,0.022814079002273502,32.13290786743164,True
126,204,6.770278509483182,0.08355521900011809,32.133450508117676,True
141,183,17.576616988797483,0.02544711599693983,32.14167404174805,True
142,168,15.835947216990013,0.0712806890005595,32.13676643371582,True
146,238,6.136059249408293,0.05754868700023508,32.133609771728516,True
161,122,4.888360014114588,0.043455630002426915,32.13429927825928,False
167,191,12.099076066190694,0.07905164299882017,32.13851547241211,True
168,242,17.128344418110075,0.043984441999782575,32.13580322265625,True
178,90,16.676254199857187,0.024864558999979636,32.14370059967041,False
181,11,4.55050545220757,0.07192105400099535,32.14248275756836,False
217,183,22.863993945979832,0.06422797800041735,32.140451431274414,True
233,238,6.085912102353055,0.03439047600113554,32.1314754486084,True
