Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
5,13,0.0,0.00011229900064790854,0.09090518951416016,True
11,25,0.01041666666666663,8.501299998897593e-05,0.0908975601196289,True
13,6,0.0,8.387899924855446e-05,0.09090518951416016,True
14,6,0.0,9.679800041340059e-05,0.09090518951416016,True
19,25,0.01041666666666663,8.615200022177305e-05,0.0908975601196289,True
25,25,0.01041666666666663,0.000351947000126529,0.0908975601196289,True
27,13,0.0,0.00011939599971810821,0.09090518951416016,True
29,13,0.0,8.354100009455578e-05,0.09090518951416016,True
39,6,0.0,8.547800007363549e-05,0.09090518951416016,True
41,25,0.0,8.354799956578063e-05,0.09090518951416016,True
44,16,0.0,8.300100034830393e-05,0.09090518951416016,True
49,25,0.0,8.385699948121328e-05,0.09090518951416016,True
55,32,0.0,8.361399977729889e-05,0.09090518951416016,False
59,6,0.0,8.339399937540293e-05,0.09090518951416016,True
62,44,0.0,8.466599956591381e-05,0.09090518951416016,False
63,6,0.0,8.935400001064409e-05,0.09090518951416016,True
72,13,0.0,8.877199979906436e-05,0.09090518951416016,True
78,13,0.0,9.523500011709984e-05,0.09090518951416016,True
91,38,0.05208333333333337,8.826100020087324e-05,0.0908670425415039,False
93,13,0.0,9.045499973581173e-05,0.09090518951416016,True
