Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,6,0.0,0.001416637000005494,2.1317758560180664,False
1,1,0.0,0.0010365149999813639,2.1312952041625977,True
2,2,0.0,0.001104533000017227,2.1312952041625977,True
3,2,0.0,0.0010712560000172289,2.1312952041625977,True
4,1,0.0,0.0010715839999875243,2.1312952041625977,True
5,5,0.0,0.0010941350000166494,2.1312952041625977,True
6,6,0.0,0.001047755000001871,2.1312952041625977,True
7,7,0.0,0.0010878909999973985,2.1312952041625977,True
8,6,0.0,0.0011823259999914626,2.1312952041625977,True
9,0,0.0,0.0010507650000022295,2.1312952041625977,False
10,7,0.0,0.001043989000010015,2.1312952041625977,True
11,7,0.0,0.0010675249999962944,2.1312952041625977,True
12,6,0.0,0.0010577030000149534,2.1312952041625977,False
13,7,0.0,0.0010691539999925226,2.1312952041625977,False
14,6,0.0,0.001073420000011538,2.1312952041625977,False
15,6,0.0,0.0010679359999983262,2.1312952041625977,False
16,7,0.0,0.001100976000003584,2.1312952041625977,False
17,7,0.0,0.0010368199999959415,2.1312952041625977,False
18,6,0.0,0.0010543239999947218,2.1312952041625977,False
19,7,0.0,0.0010499159999994845,2.1312952041625977,False
20,6,0.0,0.0010509499999784566,2.1312952041625977,False
21,6,0.0,0.0010671410000213655,2.1312952041625977,False
22,7,0.0,0.0010495200000093519,2.1312952041625977,False
23,7,0.0,0.0010509130000002642,2.1312952041625977,False
24,6,0.0,0.0010416720000137047,2.1312952041625977,False
25,7,0.0,0.001050750000018752,2.1312952041625977,False
26,8,0.0,0.0010459850000188453,2.1312952041625977,False
27,6,0.0,0.0010438609999994242,2.1312952041625977,False
28,7,0.0,0.001087538000007271,2.1312952041625977,False
29,7,0.0,0.0010843249999936688,2.1312952041625977,False
