Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,9,0.994140625,0.49663473299733596,5.373928070068359,True
1,9,1.0,0.505771526000899,5.3734283447265625,True
2,5,0.91015625,0.5174128340004245,5.359855651855469,True
3,9,0.98828125,0.5443480209978588,5.36655330657959,True
4,3,0.947265625,0.553850701002375,5.3556928634643555,True
5,7,0.9609375,0.5619138499969267,5.357830047607422,True
6,8,0.95703125,0.5242422219998844,5.345542907714844,True
7,1,0.923828125,0.5371293150019483,5.365433692932129,True
8,9,0.9609375,0.5358500449983694,5.369759559631348,True
9,7,0.943359375,0.5302061249967664,5.348201751708984,True
10,9,0.91796875,0.5570020669983933,5.368677139282227,False
11,10,0.908203125,0.536663454000518,5.351556777954102,True
12,10,0.90625,0.5656326270000136,5.363195419311523,True
13,9,0.912109375,0.5717081729999336,5.350298881530762,False
14,1,0.8671875,0.5395605099984095,5.369514465332031,False
15,6,0.884765625,0.5715105720009888,5.34511661529541,False
16,9,0.96484375,0.5733319039973139,5.35893440246582,False
17,0,0.890625,0.5355266709993884,5.347592353820801,False
18,12,0.9453125,0.5537714909987699,5.354886054992676,True
19,4,0.869140625,0.5402885919975233,5.355567932128906,False
