Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,0,334.22963726013177,1.3228195689989661,6.7727813720703125,True
1,0,172.5813269711865,0.00432772699787165,2.296372413635254,True
2,10,322.57129513374184,0.005571903002419276,2.2969751358032227,False
3,0,284.8243805949569,0.007550359001470497,2.2940149307250977,True
4,17,329.9297933472909,0.005608139999822015,2.297135353088379,False
5,12,428.4695492869648,0.0052543519996106625,2.2959604263305664,False
6,2,381.33768410457816,0.0057046239999181125,2.296990394592285,True
7,2,351.1032965699421,0.00545123799747671,2.2974863052368164,True
8,0,256.96953429337964,0.006204286000865977,2.294083595275879,True
9,10,239.07267033127187,0.010781716999190394,2.2959299087524414,False
10,0,334.2434993124566,0.014742317998752696,2.296280860900879,False
11,13,421.8753486712866,0.008386284000152955,2.2974023818969727,True
12,0,430.9019554462716,0.006644331999268616,2.2938318252563477,False
13,0,256.6247380628747,0.008548633002646966,2.296738624572754,False
14,11,310.21336754640424,0.006333208999421913,2.2974557876586914,True
15,0,347.48593883313464,0.008222330001444789,2.29720401763916,False
16,0,0.07719254297239772,0.006329207000817405,2.294938087463379,False
17,9,473.2009024980764,0.010289627000020118,2.2963953018188477,False
18,0,264.1570972856946,0.009313419002864975,2.296463966369629,False
19,11,414.1276949331978,0.013340306999452878,2.2973642349243164,True
