Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,6,1.0,0.5808683889990789,5.373918533325195,True
1,6,1.0,0.5881740090007952,5.353899002075195,True
2,4,0.9765625,0.5875534789993253,5.347789764404297,True
3,19,0.970703125,0.6018439879990183,5.357198715209961,False
4,19,0.966796875,0.5840305640012957,5.377040863037109,False
5,0,0.89453125,0.5867919550000806,5.364444732666016,True
6,0,0.88671875,0.6296536049994756,5.357202529907227,True
7,6,1.0,0.6002716520015383,5.3644304275512695,True
8,19,0.99609375,0.582116990997747,5.356422424316406,False
9,3,1.0,0.5696525700004713,5.360250473022461,True
10,17,0.982421875,0.6492723999981536,5.349246025085449,True
11,6,1.0,0.6147648779988231,5.349391937255859,False
12,19,1.0,0.5974117559999286,5.432402610778809,True
13,17,0.98828125,0.6257874729999457,5.682254791259766,True
14,4,0.9765625,0.5932441160002782,5.610556602478027,False
15,15,0.986328125,0.5903698049987725,5.698128700256348,True
16,14,0.97265625,0.6217001069999242,5.753960609436035,True
17,14,0.91015625,0.6128403990005609,5.814056396484375,True
18,12,0.98046875,0.6038845629991556,6.079922676086426,True
19,18,0.982421875,0.596018415002618,6.241800308227539,True
