Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,26,4.157500076844379,0.004305263999867748,1.018707275390625,True
1,8,4.123331570381984,0.01060706599992045,1.017923355102539,True
2,1,2.769069179016236,0.013597852999964744,1.0177087783813477,True
3,16,3.312980622859614,0.012126175000048534,1.017721176147461,True
4,4,4.043906548525181,0.01197371800003566,1.0178804397583008,True
5,24,4.285004391826275,0.012129311000080634,1.018092155456543,True
8,10,4.612448445185266,0.016339642999810167,1.0181427001953125,True
9,24,3.9056552570401655,0.011293231000081505,1.0177669525146484,True
10,16,3.8645774658349277,0.012103539999998247,1.0177059173583984,True
11,2,3.1890923055948925,0.0089965970000776,1.0179805755615234,True
12,25,3.9106080061687916,0.013634014999979627,1.0181427001953125,True
14,14,3.630783454605196,0.013806633000058355,1.0175657272338867,True
17,5,4.197458116761599,0.00799801700009084,1.0175161361694336,True
21,8,3.5910751320021026,0.017772477999869807,1.0177125930786133,True
22,13,4.121828712290967,0.01299620299982962,1.0180339813232422,True
23,2,2.8558171560084133,0.01025305500002105,1.0180253982543945,True
24,4,4.1722098636913145,0.011078112999939549,1.0180845260620117,True
26,15,4.126466905518186,0.009483420000151455,1.0180816650390625,True
30,21,3.6913844391071486,0.007443559999956051,1.017991065979004,True
32,9,2.9228072116533723,0.01932515099997545,1.0176572799682617,True
33,27,4.067071965226784,0.018971890000102576,1.0172910690307617,True
34,8,3.911143305931845,0.01504626099995221,1.0170717239379883,True
36,12,3.2597482545705123,0.011059318999969037,1.0177736282348633,True
37,25,4.271852929158688,0.01213347599991721,1.0528936386108398,True
40,26,4.3482255823629385,0.017529857999988963,1.018326759338379,True
41,16,3.8129111297949145,0.011165097999992213,1.0179376602172852,True
43,8,3.937591534163118,0.013574209999887898,1.0172786712646484,True
48,2,3.32373963429159,0.007169563000161361,1.017765998840332,True
50,15,4.268618051277821,0.014751488999991125,1.0176963806152344,True
51,0,3.0642038980354593,0.015084241999829828,1.0181093215942383,True
52,3,4.507836573596563,0.006985556000017823,1.018035888671875,True
53,12,3.4711864001950907,0.006595524999966074,1.0180368423461914,True
55,22,2.7415162892959497,0.012402734000033888,1.0180168151855469,True
56,7,4.240226960551116,0.011738028000081613,1.0181770324707031,True
57,15,3.907508987646434,0.00483398300002591,1.0179214477539062,True
58,19,3.7475526914577904,0.007682699000042703,1.0173397064208984,True
61,22,2.910120093323614,0.004736383000135902,1.0174989700317383,True
62,27,3.982685244902001,0.005326095000100395,1.0175695419311523,True
64,19,3.8508127645267196,0.013661989999945945,1.0181245803833008,True
73,29,2.9613001012673554,0.013406606999978976,1.0175971984863281,True
74,26,4.406003722781866,0.006528744999968694,1.017904281616211,True
77,26,4.212009459793227,0.015684121000049345,1.017599105834961,True
81,1,2.758933010987408,0.016682756000136578,1.0178651809692383,True
82,1,2.9810766197150462,0.02089054800012491,1.0175600051879883,True
83,22,3.00597183329676,0.004862810999838985,1.0180416107177734,True
85,15,4.422116195889719,0.00932961300009083,1.018244743347168,True
86,24,4.194129595503352,0.019004325999958382,1.0181465148925781,True
88,7,4.413486648453235,0.005391099000007671,1.017923355102539,True
90,25,3.924779353575439,0.010042903000112346,1.0178289413452148,True
92,8,3.958789756383828,0.020628857000019707,1.0176525115966797,True
93,8,3.786012104122656,0.017857758999980433,1.0180864334106445,True
96,27,4.07443864687801,0.004907815000024129,1.0174665451049805,True
98,1,2.8627553512147528,0.023536097000032896,1.0179767608642578,True
99,24,4.056626119580919,0.005119711000133975,1.0180912017822266,True
106,15,4.140573101273007,0.005428638000012143,1.0175542831420898,True
108,2,3.0683485226146776,0.01731222099988372,1.0179710388183594,True
112,12,3.364893767598019,0.014643905999946583,1.0179719924926758,True
114,24,3.7873689742734347,0.01651925500004836,1.018035888671875,True
117,22,2.7396923943443814,0.01717267300000458,1.0180330276489258,True
118,13,3.7447023035624962,0.00948789999984001,1.0180444717407227,True
120,28,4.256358331006417,0.016909756999893943,1.0177240371704102,True
121,27,3.894729097998536,0.0066533350000099745,1.0174989700317383,True
123,2,3.139898947105309,0.011579365999978108,1.0179691314697266,True
127,9,3.090854857464665,0.01044335400001728,1.017878532409668,True
128,10,3.8623279829220496,0.007703767000066364,1.0180845260620117,True
129,27,3.9313656753748827,0.02177041899994947,1.0177841186523438,True
130,27,3.9685982923050234,0.012687049999840383,1.018040657043457,True
131,18,2.7096847727647226,0.02107208300003549,1.0178098678588867,True
132,22,2.7293501939300713,0.008628348999991431,1.0178155899047852,True
136,17,3.695606595299766,0.01779106200001479,1.0178241729736328,True
137,9,3.1421205327780473,0.01416401999995287,1.017984390258789,True
138,2,2.9355305719323717,0.007241361000069446,1.0174388885498047,True
143,24,3.9901765466676054,0.008778215000120326,1.0174570083618164,True
146,24,3.983362676156664,0.01782769300007203,1.0177745819091797,True
149,1,2.998582667984705,0.007241804000159391,1.017770767211914,True
150,24,4.024472881454017,0.006740301000036197,1.0178813934326172,True
154,3,4.273742122790446,0.016034006999916528,1.0176162719726562,True
155,8,3.9538509768236367,0.012823451000031127,1.0174932479858398,True
157,8,3.7325939787078917,0.01085527500003991,1.0178070068359375,True
159,23,4.571959719068383,0.004560036999919248,1.0183019638061523,True
162,21,3.9291401365535523,0.02224090899994735,1.0174942016601562,True
165,1,2.758043824410747,0.019264946000021155,1.0179767608642578,True
166,26,4.0365571005139245,0.018606771000122535,1.0176048278808594,True
170,13,3.796866896533805,0.007514203000027919,1.01776123046875,True
173,22,3.805175134502381,0.005253966999816839,1.0183591842651367,True
175,2,2.836524530739827,0.012803852000160987,1.0175952911376953,True
179,22,3.392399341682626,0.016784142000005886,1.0180768966674805,True
181,29,2.9111466580263134,0.015563201000077242,1.0175580978393555,True
182,16,3.696711913672578,0.02289563299996189,1.0174598693847656,True
185,3,4.037052233434469,0.01249106499994923,1.0176658630371094,True
188,22,3.154209931498967,0.025003192999975,1.0177650451660156,True
190,25,3.957594549494536,0.017067961000066134,1.017770767211914,True
192,24,4.12817398947748,0.015366803999995682,1.017730712890625,True
193,0,2.9909203790367367,0.022720839999919917,1.0176982879638672,True
194,12,3.8711583396912026,0.004555413999923985,1.0174541473388672,True
195,22,2.777900108142053,0.012603169999920283,1.0175399780273438,True
196,19,4.018168207318602,0.01772236600004362,1.0177984237670898,True
197,4,4.158402190179421,0.004430017000004227,1.0177068710327148,True
198,15,4.275413805298447,0.018876335999948424,1.0179738998413086,True
200,8,3.6728599584814843,0.02116731000000982,1.0183353424072266,True
201,3,3.9381697009118155,0.019566921999967235,1.0179319381713867,True
202,13,3.5724849988370417,0.011630255000000034,1.0176105499267578,True
205,4,3.814902851584385,0.024908229000175197,1.0178604125976562,True
208,26,3.9498581215442483,0.007570312000098056,1.0178089141845703,True
209,24,4.436450089724993,0.010016787000040495,1.0178241729736328,True
210,14,4.3020509911870315,0.019819712000071377,1.0178728103637695,True
211,21,3.9397672277248907,0.01881422599990401,1.0177154541015625,True
213,19,4.010013913373514,0.007817025000122158,1.0174531936645508,True
214,8,3.8330681990039817,0.024356486999977278,1.0179805755615234,True
215,21,3.540703674683874,0.00907260300004964,1.0176219940185547,True
220,12,2.9803208763338542,0.017628113000000667,1.017928123474121,True
221,24,4.239515027305291,0.023716063999927428,1.0180959701538086,True
222,3,4.034917582337173,0.011822237000160385,1.0177726745605469,True
224,8,3.72960043298181,0.013378055000202949,1.017512321472168,True
225,12,3.221370922195124,0.01609847099985018,1.0177040100097656,True
234,5,4.099852790191232,0.008932006000122783,1.0175542831420898,True
235,13,4.039457645642147,0.004667559000154142,1.0178203582763672,True
239,19,4.212284275785877,0.013521887999786486,1.0177764892578125,True
240,4,4.005906145727459,0.00973417399995924,1.0174989700317383,True
243,2,3.1857562513067132,0.014294729999846822,1.0183591842651367,True
245,24,4.313796117673832,0.017311129000063374,1.0179271697998047,True
247,22,2.834060738799429,0.024045984000167664,1.0176115036010742,True
248,7,4.457050424997343,0.009695019000218963,1.0183124542236328,True
249,22,2.9248494025254943,0.01992964100008976,1.0179738998413086,True
253,22,3.0793049193613986,0.01119412499997452,1.0181007385253906,True
255,24,4.2204402258844915,0.00904484600005162,1.0177068710327148,True
257,7,4.491589329534355,0.014415858999882403,1.0179710388183594,True
258,0,2.823455984438324,0.027886930000022403,1.0179052352905273,True
259,13,3.6522598991121846,0.010529148999921745,1.0176162719726562,True
262,9,2.7022793459122463,0.026146568000058323,1.0178155899047852,True
263,1,2.872778117112062,0.023426574000041,1.017770767211914,True
264,3,4.129425089845104,0.011382376000028671,1.0178279876708984,True
265,16,3.3204601220257386,0.0168150440001682,1.017446517944336,True
268,21,4.154994046470892,0.006586524000113059,1.0178823471069336,True
269,22,2.9013433739495773,0.014474356000164335,1.0177202224731445,True
272,2,3.150138025932895,0.011686523000207671,1.018289566040039,True
274,22,2.932905194492751,0.01660343899993677,1.017557144165039,True
278,22,2.7620207690070697,0.00818589699997574,1.017603874206543,True
280,15,3.997354284929774,0.012585725999997521,1.0180864334106445,True
281,15,3.894060855379596,0.00806929600003059,1.0178413391113281,True
282,12,3.5019933877658516,0.013791440000204602,1.0174589157104492,True
283,26,4.138676367598532,0.006452847999980804,1.017862319946289,True
284,25,4.070326374021414,0.01013895300002332,1.0178203582763672,True
287,10,4.179825133249702,0.016779778999989503,1.0178041458129883,True
289,8,3.5495980439506467,0.022018160000015996,1.0175514221191406,True
290,2,2.881712416244925,0.012664577999885296,1.017547607421875,True
292,5,4.116383205872454,0.021776310999939597,1.0176610946655273,True
297,9,3.066637948606436,0.017723322999927404,1.0181894302368164,True
300,10,4.059516311781419,0.02211893499998041,1.0179195404052734,True
301,19,4.422186993318267,0.02666599399981351,1.0177192687988281,True
305,7,4.008690448346078,0.01488152000001719,1.0180473327636719,True
306,24,4.254622962067238,0.00678133299993533,1.018080711364746,True
308,24,4.067654765531646,0.021143183000049248,1.0176420211791992,True
309,10,3.9328765550592815,0.028670787999999447,1.0176362991333008,True
311,9,2.680537352364804,0.020205606999979864,1.017655372619629,True
