Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,5,0.0546875,0.0001633930005482398,0.1599435806274414,True
1,21,0.0703125,9.676899935584515e-05,0.1599283218383789,True
2,1,0.046875,9.20530001167208e-05,0.15995121002197266,True
3,16,0.0234375,9.223999950336292e-05,0.1599740982055664,True
4,4,0.0703125,9.25169988477137e-05,0.1599283218383789,True
5,27,0.0546875,9.456399857299402e-05,0.1599435806274414,True
6,6,0.03125,9.289499939768575e-05,0.15996646881103516,True
7,3,0.0703125,0.00011192799865966663,0.1599283218383789,True
8,26,0.0625,0.00011129400081699714,0.15993595123291016,True
9,24,0.0546875,9.338499876321293e-05,0.1599435806274414,True
10,17,0.0546875,9.650199717725627e-05,0.1599435806274414,True
11,0,0.078125,9.099800081457943e-05,0.15992069244384766,True
12,15,0.0625,9.836599929258227e-05,0.15993595123291016,True
13,8,0.046875,0.00011997999899904244,0.15995121002197266,True
14,4,0.046875,0.00011533399811014533,0.15995121002197266,True
15,7,0.046875,9.229799979948439e-05,0.15995121002197266,True
16,3,0.0390625,9.402700015925802e-05,0.1599588394165039,True
17,5,0.078125,9.437199696549214e-05,0.15992069244384766,True
18,16,0.046875,9.260599836125039e-05,0.15995121002197266,True
19,22,0.03125,9.023299935506657e-05,0.15996646881103516,True
20,8,0.0546875,0.00011291700138826855,0.1599435806274414,True
21,21,0.0703125,9.236899859388359e-05,0.1599283218383789,True
22,10,0.0625,9.376900197821669e-05,0.15993595123291016,True
23,2,0.015625,9.097899965126999e-05,0.15998172760009766,True
24,20,0.0625,0.0001088659992092289,0.15993595123291016,True
25,24,0.046875,9.257700003217906e-05,0.15995121002197266,True
26,15,0.078125,9.092599793802947e-05,0.15992069244384766,True
27,19,0.0703125,0.00010544100223341957,0.1599283218383789,True
28,2,0.03125,9.39070014283061e-05,0.16001224517822266,True
29,24,0.0546875,9.291400056099519e-05,0.1599435806274414,True
30,17,0.0546875,9.244600005331449e-05,0.1599435806274414,True
31,26,0.0625,9.485199916525744e-05,0.15993595123291016,True
32,9,0.0234375,8.95000011951197e-05,0.1599740982055664,True
33,15,0.0546875,9.388300168211572e-05,0.1599435806274414,True
34,8,0.0546875,9.589199908077717e-05,0.1599435806274414,True
35,3,0.0546875,9.256799967261031e-05,0.1599435806274414,True
36,12,0.03125,9.873900125967339e-05,0.15996646881103516,True
37,25,0.0625,9.392299762112089e-05,0.15993595123291016,True
38,15,0.0703125,9.162400237983093e-05,0.1599283218383789,True
39,15,0.0703125,9.30459973460529e-05,0.1599283218383789,True
40,11,0.0625,0.00010971500159939751,0.15993595123291016,True
41,4,0.046875,9.63789971137885e-05,0.15995121002197266,True
42,11,0.046875,9.608599793864414e-05,0.15995121002197266,True
43,8,0.046875,9.234000026481226e-05,0.15995121002197266,True
44,16,0.0546875,9.087500075111166e-05,0.1599435806274414,True
45,22,0.1015625,9.271499948226847e-05,0.1598978042602539,True
46,5,0.046875,9.476699779042974e-05,0.15995121002197266,True
47,27,0.0625,0.0001008140025078319,0.15993595123291016,True
48,2,0.046875,0.00010516999827814288,0.15999698638916016,True
49,26,0.0546875,0.0001077880006050691,0.1599435806274414,True
50,15,0.078125,9.426099859410897e-05,0.15992069244384766,True
51,0,0.0859375,0.00010139199730474502,0.15999698638916016,True
52,25,0.0703125,0.00010420399848953821,0.1599283218383789,True
53,12,0.046875,9.114599743043073e-05,0.15995121002197266,True
54,11,0.0625,0.0001025950004986953,0.15993595123291016,True
55,22,0.0234375,9.363299977849238e-05,0.1599740982055664,True
56,3,0.0625,0.00010117900092154741,0.15993595123291016,True
57,24,0.0703125,9.812099960981868e-05,0.1599283218383789,True
58,19,0.0546875,9.929800216923468e-05,0.1599435806274414,True
59,24,0.0390625,9.814099757932127e-05,0.1599588394165039,True
60,20,0.0546875,9.812600183067843e-05,0.1599435806274414,True
61,22,0.0234375,9.667099948273972e-05,0.1599740982055664,True
62,7,0.0390625,0.00010285499956808053,0.1599588394165039,True
63,12,0.0546875,9.587800013832748e-05,0.1599435806274414,True
64,27,0.046875,0.00010798500079545192,0.15995121002197266,True
65,12,0.0625,9.176399908028543e-05,0.15993595123291016,True
66,1,0.03125,0.00011960700066993013,0.15996646881103516,True
67,24,0.0390625,9.251799929188564e-05,0.1599588394165039,True
68,20,0.0546875,0.00012009800047962926,0.1599435806274414,True
69,2,0.0625,9.4142000307329e-05,0.15998172760009766,True
70,16,0.0390625,9.233200034941547e-05,0.1599588394165039,True
71,24,0.0390625,9.172399950330146e-05,0.1599588394165039,True
72,7,0.0703125,9.39009987632744e-05,0.1599283218383789,True
73,9,0.0390625,9.730199963087216e-05,0.1599588394165039,True
74,10,0.0703125,9.308999869972467e-05,0.1599283218383789,True
75,17,0.046875,9.76410010480322e-05,0.15995121002197266,True
76,17,0.0625,0.00010587300130282529,0.15993595123291016,True
77,5,0.0703125,0.00011155500033055432,0.1599283218383789,True
78,3,0.0859375,9.889799912343733e-05,0.1599130630493164,True
79,13,0.0390625,9.617700197850354e-05,0.1599588394165039,True
80,1,0.0390625,9.458599743084051e-05,0.1599588394165039,True
81,6,0.0234375,9.394800144946203e-05,0.1599740982055664,True
82,22,0.0390625,9.441500151297078e-05,0.1599588394165039,True
83,22,0.046875,9.358800161862746e-05,0.15995121002197266,True
84,27,0.0546875,0.00012017599874525331,0.1599435806274414,True
85,15,0.078125,9.719499939819798e-05,0.15992069244384766,True
