Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,13,222.89239640602645,0.011711996001395164,23.182435989379883,True
1,9,274.4426808542995,0.010623990001477068,23.181955337524414,True
4,20,107.35511538109505,0.011322829002892831,23.18065071105957,True
5,34,351.4103577982249,0.012702398002147675,23.18339729309082,False
6,13,583.5401253332797,0.011806009999418166,23.1867618560791,True
8,31,268.1316020257678,0.011029749999579508,23.182710647583008,True
9,38,107.98161547985656,0.011253122000198346,23.181421279907227,True
10,17,102.4965976549921,0.010241384003165876,23.18229866027832,True
12,34,327.35093808463665,0.013275815999804763,23.182710647583008,False
13,15,97.21045368859933,0.011681236999720568,23.18222999572754,True
17,8,32.51692887281062,0.011209459000383504,23.1801700592041,True
20,24,203.7928144222225,0.010814454002684215,23.181955337524414,True
22,38,312.6623511482724,0.01048909599921899,23.183809280395508,True
24,23,327.5699534204684,0.013711128001887118,23.18449592590332,False
25,19,116.27657844363185,0.010794334000820527,23.180788040161133,True
26,24,288.03377721888415,0.011195650997251505,23.18277931213379,True
27,22,455.36009921368986,0.01285378399916226,23.187105178833008,False
29,13,855.6634744110521,0.01204341300035594,23.190813064575195,True
30,9,17.126279172601368,0.010833700998773566,23.179758071899414,True
33,20,59.01953434198158,0.012159000998508418,23.180788040161133,True
34,16,98.86083978232551,0.010551358998782234,23.180925369262695,True
35,15,246.24292023071905,0.010769370997877559,23.1823673248291,False
36,21,114.27817652537675,0.011571094997634646,23.181062698364258,True
38,24,214.01697716798682,0.011594350999075687,23.182573318481445,True
40,17,150.83220554800675,0.01063087600050494,23.18174934387207,True
42,35,591.9389124065597,0.011593877999985125,23.18943977355957,False
43,21,106.77547392717308,0.012616662999789696,23.18113136291504,True
44,22,93.47000623256685,0.011678728002152639,23.180444717407227,True
46,34,385.14575446464505,0.010447370001202216,23.182573318481445,False
48,34,172.0416789639604,0.010504369998670882,23.180788040161133,True
49,8,126.69897971528252,0.012179886998637812,23.181543350219727,True
50,3,95.90876135812611,0.010603731996525312,23.180788040161133,True
51,11,139.2204773076385,0.011531349999131635,23.18277931213379,True
57,3,227.20243727355987,0.011518587998580188,23.183191299438477,True
60,3,273.10103241160095,0.010958286999084521,23.181337356567383,True
61,6,151.3828669080914,0.011461294001492206,23.18284797668457,False
62,14,90.30570336808815,0.010699688999011414,23.18113136291504,True
64,18,407.09345888089604,0.011637884999800008,23.18449592590332,False
67,4,187.19019128630762,0.010961673000565497,23.18113136291504,True
68,3,255.89919550402487,0.011000611000781646,23.18284797668457,True
69,17,126.02078517008117,0.010713463001593482,23.183122634887695,True
73,9,233.1421259247071,0.011503459001687588,23.182641983032227,True
74,14,318.4475414645643,0.01176315599877853,23.184839248657227,True
75,3,578.7986768930215,0.01193149300161167,23.18882179260254,False
76,31,73.45613002974673,0.011140768001496326,23.180307388305664,True
78,17,184.04159980165102,0.011321761001454433,23.1834659576416,True
79,31,132.24283606657366,0.012052542002493283,23.181337356567383,True
80,30,484.3733390016163,0.011174223000125494,23.183420181274414,True
81,17,100.08261423047327,0.011493818001326872,23.182641983032227,True
82,31,174.6126736452604,0.010481522996997228,23.180925369262695,True
84,8,42.79183873328921,0.010893924001720734,23.180444717407227,True
85,6,392.4802661537527,0.011689156999636907,23.1823673248291,True
92,8,54.70521707655704,0.011226784998143557,23.18071937561035,True
93,32,74.49802558100367,0.01084714399985387,23.18010139465332,True
94,34,423.3495187226182,0.01079076200039708,23.18497657775879,False
98,28,56.034899792567074,0.010929070998827228,23.1801700592041,True
100,17,84.58497990741654,0.011717491001036251,23.182024002075195,True
103,16,221.17277707010487,0.011096043999714311,23.18449592590332,True
104,17,48.55070198149133,0.010613460999593372,23.180513381958008,True
106,7,307.6829537564136,0.011474217000795761,23.18840980529785,False
107,20,300.61819492993004,0.011766051997256,23.18511390686035,False
110,23,454.19167991382864,0.011157139000715688,23.186349868774414,True
111,23,188.53509497088294,0.011550110000825953,23.183809280395508,True
113,23,461.03646670284,0.010760777000541566,23.18614387512207,False
114,10,213.2732036828398,0.011594062998483423,23.18181800842285,True
116,18,213.15336685644385,0.011708991001796676,23.18235206604004,True
117,27,197.49805479176985,0.01133083400054602,23.183809280395508,True
122,23,73.90718562516643,0.010667859001841862,23.180238723754883,True
123,34,404.44291531685667,0.011099711999122519,23.18559455871582,False
124,38,294.3612958666508,0.011448965000454336,23.1834659576416,True
125,17,99.85417927382322,0.010947165999823483,23.1812686920166,True
126,21,201.03624174866167,0.010943454999505775,23.182504653930664,True
130,2,636.7819450640915,0.011057466999773169,23.182321548461914,True
131,38,172.65459366915448,0.017232932998012984,23.182435989379883,True
