Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,5,0.8519141214199607,0.00658869600010803,5.07460880279541,True
1,0,0.6497761700546888,0.00700376999884611,5.073756217956543,True
2,5,0.8207014644379808,0.008206357000744902,5.074915885925293,True
3,4,0.6791008498222476,0.007386893001239514,5.073424339294434,True
4,0,0.6870288641365814,0.005979265999485506,5.0733842849731445,True
5,11,0.7446091997538493,0.006980769998335745,5.074332237243652,True
6,5,0.7273487269512958,0.009205621001456166,5.07363224029541,True
7,9,0.6325952424693919,0.011960470998019446,5.072636604309082,True
8,10,0.8881638728263926,0.0054912830019020475,5.073050498962402,True
9,4,0.6858752730991542,0.009441042002436006,5.073319435119629,True
10,12,0.6823743443197967,0.010526396999921417,5.073427200317383,True
11,4,0.7688962244890489,0.010534929002460558,5.073587417602539,True
12,12,0.6798578444507474,0.01156500899742241,5.073526382446289,True
13,12,0.6580050628570928,0.00675080099972547,5.072776794433594,True
14,9,0.73004044703283,0.010012556998844957,5.074213981628418,True
15,17,0.6048831968006116,0.009598715998436091,5.071697235107422,True
16,22,0.8450059413664849,0.007340549997024937,5.074319839477539,True
17,21,0.5810924240370418,0.006586755000171252,5.072510719299316,True
18,20,1.2722252774913645,0.007183662000898039,5.075872421264648,True
19,18,0.7812239045081684,0.011548716996912844,5.074048042297363,True
20,16,0.6956682436895909,0.013728611000260571,5.143744468688965,True
21,20,0.8813876148137141,0.009209316998749273,5.074274063110352,True
22,21,0.5948986402474642,0.01033306099998299,5.073155403137207,True
23,27,0.6899965832294119,0.009539105998555897,5.072725296020508,True
24,26,0.9335793580690886,0.005665174998284783,5.073197364807129,True
25,26,0.4925143560509209,0.011394412998924963,5.072017669677734,True
26,23,0.5678910075970002,0.011722024999471614,5.073049545288086,True
27,23,0.6778375775649582,0.007389670001430204,5.073315620422363,True
