Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,332,0.04951121871858788,0.0012416299996402813,0.7873239517211914,False
1,217,0.05668093397442342,0.0012904579998576082,0.7872095108032227,False
2,233,1.096854030910479,0.0012515609996626154,0.7877664566040039,False
3,160,1.3489882269399818,0.0012194529990665615,0.7874231338500977,False
4,307,0.4301199351543732,0.0012691619995166548,0.7874689102172852,False
5,252,0.7800346031372128,0.0012210849999974016,0.7870340347290039,False
6,31,0.7301926091507216,0.00111434100108454,0.7852716445922852,False
7,82,0.1308856739794625,0.0012580870006786427,0.7873849868774414,False
8,222,0.09946454389967838,0.001217179000377655,0.7871484756469727,False
9,209,0.12464491369902353,0.001131578999775229,0.7853174209594727,True
10,0,1.333656260362079,0.0012568250003823778,0.7875833511352539,False
11,300,2.1111200751485124,0.0012394440000207396,0.7875909805297852,False
12,367,3.2873239757834414,0.0012168430002930108,0.7871866226196289,False
13,319,0.49619721673916095,0.0012715830016531982,0.7876291275024414,False
14,208,0.04367454002930926,0.0012660570009757066,0.7875833511352539,False
15,22,0.776800132443711,0.0011396300014894223,0.7854166030883789,False
16,354,0.3803810841940938,0.0011262959997111466,0.7854013442993164,False
17,194,0.5003477650408907,0.0011651810000330443,0.7856988906860352,False
18,228,0.14669989715844323,0.0014671700009785127,0.7876214981079102,False
19,165,2.145585226844065,0.001259902999663609,0.7859582901000977,False
20,361,1.752630301649928,0.0011505170004966203,0.7850351333618164,False
21,282,7.032105265963022,0.0011690280007314868,0.7858438491821289,False
22,228,1.2416984655904173,0.0012170009995315922,0.7870721817016602,False
23,281,0.16242264031327736,0.0011944990001211409,0.7867364883422852,False
24,250,0.2892735502877486,0.0011405099994590273,0.7853021621704102,False
25,43,1.1245650079857117,0.0011869160007336177,0.7856988906860352,False
26,375,0.8281272128432422,0.0012019639998470666,0.7864313125610352,False
27,123,0.6516665018809462,0.001210491000165348,0.7855997085571289,False
28,186,3.8156931053231986,0.0012433299998519942,0.7877283096313477,False
29,11,0.8200179274251005,0.0013249660005385522,0.7873849868774414,False
30,248,0.03563435569497886,0.0012967349994141841,0.7873849868774414,False
31,150,1.4570066864284226,0.0012399629995343275,0.7870645523071289,True
32,310,2.1165927406035494,0.0013541139996959828,0.7851419448852539,False
33,304,0.41940865120876336,0.0012526249993243255,0.7874307632446289,False
34,312,0.4126054312396973,0.0011891220001416514,0.7862863540649414,False
35,276,1.3256273443733857,0.0012301170008868212,0.7873773574829102,False
36,94,0.20629870536034478,0.001238572000147542,0.7874460220336914,False
37,74,0.34732085489389863,0.0011535100002220133,0.7850351333618164,False
38,307,0.18477752070003362,0.0012254329994902946,0.7873239517211914,False
39,86,0.47089865475998893,0.001256264000403462,0.7874536514282227,False
40,117,0.38332805441321505,0.0012523210007202579,0.7872629165649414,False
41,182,0.34744310203454887,0.0012683620007010177,0.7873773574829102,False
42,54,2.263347201035521,0.0012160280002717627,0.7871713638305664,True
43,268,0.020785522349346497,0.001174438999441918,0.7861261367797852,False
44,158,3.0652561825037417,0.0012299840000196127,0.7872171401977539,False
45,385,0.48710822781998364,0.0011165999985678354,0.7849893569946289,False
46,40,0.5553400898066714,0.0012758700013364432,0.7874994277954102,False
47,21,0.025736433798121544,0.0012442159986676415,0.7871866226196289,False
48,78,1.01613664947861,0.0012598940011230297,0.7872400283813477,False
49,316,0.05868630366219718,0.0012645139995584032,0.7873010635375977,True
50,149,2.083937978940995,0.001226598000357626,0.7872323989868164,False
51,19,0.607734607153618,0.001232779999554623,0.7873392105102539,False
52,103,1.0041113038168337,0.0011623339996731374,0.7857751846313477,False
53,299,0.5795347311266307,0.0012545549998321803,0.7869653701782227,False
54,123,0.4646345635030711,0.001145664000432589,0.7853021621704102,False
55,145,0.8048326773068037,0.001173238999399473,0.7862634658813477,False
56,380,1.5193080229800198,0.0029549890005000634,0.7874765396118164,False
