Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,1,0.10504116181229808,0.0006398030000127619,1.0371875762939453,True
1,15,0.07072700876648669,0.000567275999856065,1.036600112915039,True
2,2,0.10075400464425441,0.0006457819999923231,1.0368671417236328,True
3,14,0.05999534498075452,0.000529178000306274,1.036508560180664,True
4,13,0.0978477620715205,0.0005187249998925836,1.0368824005126953,True
5,0,0.0848860350164867,0.0005051389998698141,1.0369281768798828,True
6,1,0.16001198902797736,0.0005478100001710118,1.037729263305664,True
7,1,0.1556654206346149,0.0005574259998866182,1.0376529693603516,True
8,13,0.0719713946956747,0.0005473799997162132,1.036661148071289,True
9,14,0.06344683858514084,0.0005546879997382348,1.036355972290039,True
10,9,0.2916738603650483,0.0005764990000898251,1.0371265411376953,True
11,7,0.2255407486207522,0.0005275509997773042,1.0369129180908203,True
12,4,0.3449501712812962,0.0005216310000832891,1.0362720489501953,True
13,6,0.056376382436170665,0.0005369599998630292,1.036233901977539,True
14,4,0.07565808028816183,0.0005466249999699357,1.0360584259033203,True
15,6,0.06795127712969488,0.0005979190000289236,1.0367679595947266,True
16,0,0.09375412961640808,0.0005511660001502605,1.036722183227539,True
17,5,0.12279952335253137,0.0005472920001921011,1.0368824005126953,True
18,13,0.052897657176858515,0.0005493680000654422,1.036203384399414,True
19,1,0.19705373162820625,0.0005675630000041565,1.0375690460205078,True
20,5,0.15673454576722856,0.0005213919998823258,1.0367298126220703,True
21,10,0.05931613795077752,0.0005205429997658939,1.0362110137939453,True
22,6,0.07784427993844503,0.0005220749999352847,1.036355972290039,True
23,2,0.062263544589885804,0.0005293469998832734,1.0363178253173828,True
24,7,0.1695487873685803,0.0005654649999087269,1.0366840362548828,True
25,4,0.0740492581920964,0.0005051049997746304,1.035959243774414,True
26,9,0.2951567502192526,0.0005395939997470123,1.0368595123291016,True
27,7,0.0871030801497696,0.0005173170002308325,1.0361881256103516,True
28,13,0.06974203383931735,0.0005294190000313392,1.0363483428955078,True
29,10,0.07369371943893056,0.0005258929995761719,1.036508560180664,True
30,13,0.08273109409550088,0.0005826519995935087,1.0366230010986328,True
31,0,232.43468019656754,0.0005947570002717839,1.0382022857666016,False
32,1,0.11934468718131201,0.0006473889998233062,1.0370044708251953,True
33,6,0.08083545714265254,0.0005295169999044447,1.0368518829345703,True
34,2,0.08301084632428958,0.0005772580002485483,1.0365238189697266,True
35,8,0.07476069778016331,0.0005380349998631573,1.0361804962158203,True
36,10,0.07357346168101184,0.0005154359996595304,1.0364246368408203,True
37,4,0.0732258793552652,0.0005110189999868453,1.0359821319580078,True
38,6,0.06309749633184207,0.0005292200003168546,1.0359973907470703,True
39,14,0.05827751237177327,0.000491946999773063,1.0361881256103516,True
40,6,0.06908948181567126,0.0005719610003325215,1.0365238189697266,True
41,13,0.05321744155550775,0.0005083969999759574,1.036233901977539,True
42,6,0.07672111824393553,0.000516137999966304,1.036325454711914,True
43,2,0.06889881553039462,0.0005324670000845799,1.0362110137939453,True
44,4,0.08288973014098772,0.0004887410000264936,1.0359668731689453,True
45,10,0.061083932027596516,0.0005302710001160449,1.0363330841064453,True
46,13,0.10995079454259013,0.0005778299996563874,1.036996841430664,True
47,9,0.2826339741369564,0.0005356260003281932,1.0370349884033203,True
48,13,0.07200372797261648,0.0005206989999351208,1.0366230010986328,True
49,2,0.06448062935448734,0.0005500239999491896,1.0363788604736328,True
50,4,0.07823366349653664,0.000547229000403604,1.0363712310791016,True
51,2,0.06700986794489555,0.0005265190002319287,1.0359134674072266,True
52,9,0.10856502903085244,0.0005571830001827038,1.036966323852539,True
53,14,0.09027002233172864,0.0005019029999857594,1.036203384399414,True
54,12,0.0693993776751105,0.0005515739999282232,1.0365924835205078,True
