Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,0,0.0,0.00031523000143351965,0.06371402740478516,True
1,1,0.0,9.31370013859123e-05,0.06368350982666016,True
2,0,0.0,6.670199945801869e-05,0.06368350982666016,True
3,0,0.0,9.909100117511116e-05,0.06368350982666016,False
4,0,0.0,6.766299702576362e-05,0.06368350982666016,True
5,0,0.0,6.869299977552146e-05,0.06368350982666016,True
6,0,0.0,6.737300282111391e-05,0.06368350982666016,False
7,0,0.0,6.678399950033054e-05,0.06368350982666016,True
8,0,0.0,6.719199882354587e-05,0.06368350982666016,False
9,0,0.0,6.902499808347784e-05,0.06368350982666016,False
10,0,0.0,6.908000068506226e-05,0.06368350982666016,True
11,0,0.0,7.989399819052778e-05,0.06368350982666016,True
12,0,0.0,6.915500125614926e-05,0.06368350982666016,False
13,0,0.0,6.806900273659267e-05,0.06368350982666016,True
14,0,0.0,6.85539998812601e-05,0.06368350982666016,False
15,0,0.0,6.936299905646592e-05,0.06368350982666016,True
16,0,0.0,6.81530000292696e-05,0.06368350982666016,False
17,0,0.0,6.84000006003771e-05,0.06368350982666016,True
18,0,0.0,6.772499909857288e-05,0.06368350982666016,True
19,0,0.0,6.81669989717193e-05,0.06368350982666016,False
20,0,0.0,7.073500091792084e-05,0.06368350982666016,True
21,0,0.0,6.825500167906284e-05,0.06368350982666016,True
22,0,0.0,6.964999920455739e-05,0.0637063980102539,True
23,0,0.0,6.923600085428916e-05,0.0637063980102539,True
24,0,0.0,7.007399835856631e-05,0.0637063980102539,False
25,0,0.0,8.021500252652913e-05,0.0637063980102539,False
26,0,0.0,7.132699829526246e-05,0.0637063980102539,True
27,0,0.0,7.003399878158234e-05,0.0637063980102539,True
28,0,0.0,0.00010970199946314096,0.0637063980102539,False
29,0,0.0,6.927199865458533e-05,0.0637063980102539,False
30,0,0.0,6.859499990241602e-05,0.0637063980102539,False
31,0,0.0,6.798400136176497e-05,0.0637063980102539,True
32,1,0.0,6.755200229235925e-05,0.06368350982666016,False
33,0,0.0,7.49930004531052e-05,0.0637063980102539,True
