Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,282,0.49908851845255864,7.225800072774291e-05,0.057457923889160156,True
1,49,0.34851701354528714,6.991899863351136e-05,0.057419776916503906,True
2,39,0.09486766879377097,6.950199895072728e-05,0.057435035705566406,True
3,309,0.07167590274446106,6.74559996696189e-05,0.057396888732910156,True
4,322,0.07322078437220494,7.235199882416055e-05,0.057427406311035156,True
5,329,0.4554755317844164,7.439099863404408e-05,0.057465553283691406,True
6,112,0.07559950172793586,7.335500049521215e-05,0.057419776916503906,True
7,355,0.5991608405219083,7.11819993739482e-05,0.057465553283691406,True
8,197,0.47858430467815666,7.414799983962439e-05,0.057496070861816406,False
9,134,0.4368062631885487,7.066699981805868e-05,0.057442665100097656,False
10,53,0.08604472055399655,7.353799810516648e-05,0.057427406311035156,True
11,244,0.3291909288836752,6.8781002482865e-05,0.057427406311035156,True
12,8,0.0933559318219491,7.258700134116225e-05,0.057412147521972656,True
13,284,0.3957989502489427,8.285600051749498e-05,0.057457923889160156,False
14,377,0.31855495628039676,7.033200017758645e-05,0.057412147521972656,False
15,12,0.07286366852269215,6.931300231372006e-05,0.057404518127441406,True
16,332,0.07708983590285322,7.257900142576545e-05,0.057412147521972656,False
17,368,0.05816870889056425,7.100999937392771e-05,0.057396888732910156,True
18,240,0.3872560141907729,7.190399992396124e-05,0.057450294494628906,False
19,37,0.06882333914577639,6.829400081187487e-05,0.057389259338378906,True
20,196,0.06937239076076258,7.058499977574684e-05,0.057412147521972656,True
21,168,0.549651853998672,7.736700354143977e-05,0.057480812072753906,True
22,149,0.36106407642021604,7.257499964907765e-05,0.057427406311035156,True
23,116,0.0474336107278582,0.00010305600153515115,0.057404518127441406,True
24,266,0.07562754923522114,7.076900146785192e-05,0.057412147521972656,True
25,21,0.06628830210166849,6.920700252521783e-05,0.057435035705566406,True
26,260,0.3903960711878371,6.915600170032121e-05,0.057419776916503906,True
27,31,0.05173036515148238,6.98690018907655e-05,0.057389259338378906,True
28,156,0.38556780177944466,7.422999988193624e-05,0.057442665100097656,False
29,133,0.4274631101184013,7.081900184857659e-05,0.057435035705566406,True
30,77,0.07458555006823447,6.824099909863435e-05,0.057404518127441406,True
31,121,1.0602610560596373,7.248200199683197e-05,0.057480812072753906,True
32,243,0.7259408448597069,7.657800233573653e-05,0.057496070861816406,False
33,386,0.07890267028037297,6.916900019859895e-05,0.057419776916503906,True
34,120,0.4617376171663475,7.191600161604583e-05,0.057473182678222656,False
35,197,0.36100436609128345,7.155099956435151e-05,0.057442665100097656,False
36,29,0.09681334443332514,7.076399924699217e-05,0.057412147521972656,True
37,251,0.43217765051339313,7.738299973425455e-05,0.057480812072753906,True
38,41,0.10865147521500226,7.009899854892865e-05,0.057412147521972656,True
39,351,0.5466626672052546,8.084599903668277e-05,0.057435035705566406,False
40,332,0.07653069949214499,6.830300117144361e-05,0.057419776916503906,True
