Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,21,0.056640625,0.0012875210013589822,2.5272302627563477,True
1,182,0.12109375,0.001247911000973545,2.5258493423461914,False
2,243,0.09765625,0.0017219399996974971,2.5260324478149414,True
3,45,0.119140625,0.001243601000169292,2.5257959365844727,True
4,60,0.146484375,0.001280437001696555,2.525383949279785,True
5,173,0.11328125,0.0012622300018847454,2.5259103775024414,True
6,26,0.134765625,0.001242193000507541,2.5254907608032227,True
7,296,0.1171875,0.0012852170002588537,2.525773048400879,False
8,122,0.130859375,0.0012417549987731036,2.525689125061035,False
9,113,0.08984375,0.001275479000469204,2.5267038345336914,True
10,293,0.080078125,0.0012959790001332294,2.5265588760375977,True
11,57,0.130859375,0.0012551039981190115,2.52571964263916,False
12,36,0.078125,0.0012893319981230889,2.526902198791504,True
13,5,0.060546875,0.0013006779990973882,2.527215003967285,True
14,284,0.04296875,0.0012903220012958627,2.5273447036743164,True
15,269,0.142578125,0.001317423000728013,2.5252466201782227,False
16,221,0.068359375,0.0012908360004075803,2.52700138092041,True
17,279,0.046875,0.0013490880010067485,2.527298927307129,True
18,157,0.08984375,0.0012292220017116051,2.5263071060180664,True
19,86,0.1875,0.0013758060013060458,2.524735450744629,True
20,173,0.11328125,0.001284706999285845,2.5261545181274414,False
21,21,0.064453125,0.0012736529970425181,2.5270166397094727,True
22,245,0.072265625,0.0012502919998951256,2.5266809463500977,True
23,184,0.107421875,0.0012708350004686508,2.526360511779785,True
24,295,0.115234375,0.0012348419986665249,2.525933265686035,False
25,128,0.154296875,0.0013092599983792752,2.52504825592041,True
26,2,0.0859375,0.0012975370009371545,2.526810646057129,True
27,223,0.138671875,0.0013309109999681823,2.525506019592285,True
28,13,0.060546875,0.0012961199972778559,2.52706241607666,True
29,21,0.0546875,0.0014141399988147896,2.527085304260254,True
30,172,0.158203125,0.001235482999618398,2.5253381729125977,False
31,289,0.13671875,0.0012529550003819168,2.5255746841430664,False
32,68,0.1328125,0.0012300929993216414,2.525345802307129,True
33,318,0.14453125,0.0012522489996626973,2.5254220962524414,True
34,105,0.09375,0.0012547770020319149,2.526078224182129,True
35,123,0.126953125,0.0012516310016508214,2.5259790420532227,False
36,215,0.09375,0.001326915000390727,2.526535987854004,True
37,60,0.15234375,0.0012370600015856326,2.5253000259399414,True
38,257,0.10546875,0.0012492989990278147,2.5261240005493164,True
39,98,0.109375,0.0012571529987326358,2.525773048400879,True
40,293,0.076171875,0.0012708940012089442,2.52663516998291,True
41,42,0.125,0.0013660219992743805,2.525773048400879,True
42,17,0.083984375,0.001325047000136692,2.526421546936035,False
43,55,0.140625,0.001298587001656415,2.525254249572754,True
44,250,0.12890625,0.0012491859997680876,2.5257577896118164,True
45,75,0.154296875,0.0012358720014162827,2.525383949279785,False
46,38,0.134765625,0.001223007002408849,2.5252466201782227,False
47,28,0.123046875,0.0012462080012483057,2.525628089904785,False
48,43,0.08984375,0.0012716119999822695,2.5263986587524414,False
49,8,0.052734375,0.0013338339995243587,2.52730655670166,True
50,248,0.12109375,0.00126903600175865,2.5257577896118164,False
51,90,0.177734375,0.001219851001224015,2.524468421936035,True
52,167,0.125,0.001369817000522744,2.525467872619629,True
53,234,0.1015625,0.001263206999283284,2.526108741760254,True
54,39,0.10546875,0.0012746300017170142,2.5262460708618164,False
55,63,0.12890625,0.0012487189997045789,2.5256357192993164,True
56,101,0.166015625,0.0012329130004218314,2.5249414443969727,False
57,141,0.109375,0.0012617430002137553,2.525986671447754,False
58,159,0.12890625,0.0012345639988780022,2.5256357192993164,True
59,118,0.130859375,0.0012881190014013555,2.52547550201416,False
60,159,0.138671875,0.0012313690021983348,2.525322914123535,True
61,3,0.15625,0.0012377019993436988,2.524491310119629,True
62,229,0.12109375,0.0012879729983978905,2.5257272720336914,True
63,81,0.08984375,0.0013638109994644765,2.5264291763305664,False
64,266,0.052734375,0.0013053229995421134,2.527153968811035,True
65,79,0.125,0.001358298999548424,2.525895118713379,True
66,74,0.109375,0.0012535360001493245,2.525803565979004,True
67,273,0.09375,0.0013617839977086987,2.526108741760254,True
68,6,0.126953125,0.0012624990013136994,2.5255517959594727,True
69,219,0.060546875,0.001278265001019463,2.527092933654785,True
70,110,0.166015625,0.0012389069997880142,2.5251245498657227,True
71,179,0.126953125,0.001238344000739744,2.5258569717407227,False
72,209,0.12890625,0.0012446079999790527,2.5257272720336914,True
73,231,0.146484375,0.001535220002551796,2.525567054748535,False
74,170,0.125,0.001251498997589806,2.525712013244629,True
75,314,0.150390625,0.0012548499980766792,2.5249719619750977,True
76,314,0.162109375,0.001236822998180287,2.524956703186035,True
