Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
6,1747,0.054089736623914676,0.00022761600121157244,0.08257389068603516,False
8,7295,0.2659283576632142,0.0002246469994133804,0.08260440826416016,False
9,2871,0.6455608712957722,0.00023315100042964332,0.0825510025024414,False
10,1596,0.0025768839379422814,0.0002226940014224965,0.08257389068603516,False
12,7510,0.11974358813972374,0.00022647199875791557,0.08260440826416016,False
13,1897,0.06798380545982496,0.0002211399987572804,0.0825662612915039,False
14,7544,0.12519656107334487,0.00023723900085315108,0.08260440826416016,False
17,8025,0.18028617533152516,0.00023228399732033722,0.0826120376586914,False
18,7544,0.038198182729897306,0.0002253640013805125,0.08258914947509766,False
21,4988,0.05687830019696505,0.0002444140009174589,0.08260440826416016,False
23,1596,0.18462804910863612,0.00022137400083011016,0.08255863189697266,False
24,7516,0.3650693296617734,0.00022359399736160412,0.0825967788696289,False
26,2413,0.053763507515002806,0.0002214699998148717,0.08258914947509766,False
27,864,0.04963098965023673,0.00022406900097848848,0.0825967788696289,False
31,7627,0.4511878480650545,0.0002265959992655553,0.0826120376586914,False
32,3631,0.07807047561974434,0.0002329279996047262,0.0825357437133789,False
35,7433,0.06400080508873884,0.00022726799943484366,0.0826120376586914,False
37,2814,0.09703843354905999,0.0002258969980175607,0.08260440826416016,False
38,3484,0.036956800518410673,0.00022428100055549294,0.08260440826416016,False
41,5071,0.1539282136026864,0.00023662099920329638,0.0826120376586914,False
42,1867,0.015317732256559302,0.00023343499924521893,0.08260440826416016,False
46,7383,0.036637332885203405,0.00023423899983754382,0.08260440826416016,False
49,7345,0.29824469411424026,0.00022352199812303297,0.08258914947509766,False
52,4278,0.0039716596336077,0.00025532799918437377,0.08261966705322266,False
55,765,0.05217604069537436,0.00022201999672688544,0.08258914947509766,False
57,545,0.006828519843410176,0.00023626999973203056,0.08260440826416016,False
58,7598,0.0036066471485674267,0.0002466279984219,0.0825967788696289,False
64,7510,0.35445083602215904,0.0002237779990537092,0.08258914947509766,False
65,8116,0.02519092911535403,0.00022359200011123903,0.0826120376586914,False
66,6606,0.04769670650336083,0.0002247080010420177,0.0826120376586914,False
67,7640,0.16952265391876034,0.00022345099932863377,0.08258914947509766,False
68,7640,0.10641340345603673,0.00022833500042906962,0.08260440826416016,False
69,7432,0.12561731087296638,0.0002333410011488013,0.0826120376586914,False
70,2462,0.16408576576378725,0.00022556399926543236,0.08252811431884766,False
71,1854,0.06288869119232121,0.00022382300085155293,0.0825967788696289,False
72,3085,0.07027126350321566,0.00022766699839849025,0.08260440826416016,False
74,7513,0.2679112724622592,0.0002673400013009086,0.08260440826416016,False
75,2402,0.044597003918983136,0.00022988500131759793,0.0825815200805664,False
79,4194,0.05396961486267048,0.00023134600269258954,0.08261966705322266,False
81,4278,0.37072274979526004,0.00024089699945761822,0.0826120376586914,False
82,4116,0.005909024510670522,0.0002766940015135333,0.0825967788696289,False
83,7432,0.008500906223648557,0.00023104899810277857,0.0825967788696289,False
84,2927,0.012301812705635476,0.00023833099839976057,0.08260440826416016,False
