Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,16,0.07714285714285718,0.0009275619995605666,1.182023048400879,True
1,21,0.020000000000000018,0.0007388899994111853,1.1826181411743164,True
2,13,0.06000000000000005,0.0008290730002045166,1.1820383071899414,True
3,5,0.040000000000000036,0.0007258259993250249,1.1820306777954102,True
4,12,0.017142857142857126,0.0007433039991155965,1.182572364807129,True
5,23,0.02285714285714291,0.0007578139993711375,1.1823511123657227,False
6,16,0.05428571428571427,0.0007578110016766004,1.181839942932129,True
7,16,0.06857142857142862,0.0009197920007864013,1.1822900772094727,True
8,13,0.040000000000000036,0.0009282190003432333,1.1820611953735352,True
9,16,0.0714285714285714,0.0007439619985234458,1.1820993423461914,True
10,23,0.014285714285714235,0.000754644001062843,1.1826715469360352,True
11,16,0.06285714285714283,0.0008514780001860345,1.1821832656860352,True
12,4,0.020000000000000018,0.0007859010001993738,1.182572364807129,True
13,13,0.037142857142857144,0.0007433920000039507,1.1821603775024414,True
14,1,0.06857142857142862,0.0007221899995784042,1.1820459365844727,False
15,12,0.05142857142857138,0.0006793129996367497,1.1822137832641602,False
16,22,0.040000000000000036,0.0007559480000054464,1.1821222305297852,True
17,6,0.06285714285714283,0.0007025809991318965,1.1821222305297852,False
18,13,0.03142857142857147,0.0007942569991428172,1.182297706604004,True
19,5,0.040000000000000036,0.0007991160000528907,1.1822748184204102,True
20,23,0.014285714285714235,0.0009549330006848322,1.1826486587524414,True
21,15,0.037142857142857144,0.000758631998905912,1.1821298599243164,True
22,13,0.02571428571428569,0.0008378349994018208,1.1823129653930664,True
23,23,0.011428571428571455,0.0007301890000235289,1.1826486587524414,True
24,15,0.02571428571428569,0.0007295439991139574,1.1824960708618164,True
25,5,0.011428571428571455,0.0007832390001567546,1.1826868057250977,True
26,6,0.08285714285714285,0.0007632130000274628,1.1820383071899414,False
27,13,0.03142857142857147,0.0007813939992047381,1.182206153869629,True
28,14,0.07999999999999996,0.0007824229996913346,1.1816492080688477,True
29,20,0.0485714285714286,0.0007399250007438241,1.1819162368774414,True
30,10,0.06857142857142862,0.0007448599990311777,1.1820154190063477,False
31,15,0.03428571428571425,0.0007758770007058047,1.1821985244750977,True
32,14,0.07428571428571429,0.0007232600000861567,1.1816034317016602,True
33,5,0.014285714285714235,0.0008215119996748399,1.1825571060180664,True
34,16,0.06857142857142862,0.0007081639996613376,1.1815881729125977,True
35,5,0.014285714285714235,0.0007607679999637185,1.1826486587524414,True
36,21,0.014285714285714235,0.0007404600000882056,1.1826181411743164,True
37,14,0.07714285714285718,0.000711161999788601,1.181656837463379,True
38,1,0.02857142857142858,0.0007369409995590104,1.1825189590454102,False
39,13,0.08571428571428574,0.0007348629987973254,1.1818475723266602,False
40,17,0.037142857142857144,0.0007675980014028028,1.1822824478149414,True
41,16,0.0714285714285714,0.0007406250006170012,1.1820077896118164,True
42,16,0.05714285714285716,0.0007331450015044538,1.1820459365844727,True
43,5,0.017142857142857126,0.0007982890001585474,1.1824579238891602,True
44,21,0.017142857142857126,0.0007492269996873802,1.1825799942016602,True
45,15,0.03428571428571425,0.000770397999076522,1.1821069717407227,True
46,16,0.07428571428571429,0.0007304600003408268,1.1820306777954102,True
47,20,0.07428571428571429,0.000761033999879146,1.1821222305297852,False
48,5,0.017142857142857126,0.0007759559994156007,1.1825494766235352,True
49,12,0.011428571428571455,0.0007475399997929344,1.1826868057250977,True
50,5,0.005714285714285672,0.0007753310001135105,1.1828393936157227,True
51,22,0.06571428571428573,0.0007304829996428452,1.181626319885254,True
52,4,0.03428571428571425,0.0007868419997976162,1.1821985244750977,True
53,20,0.08285714285714285,0.0006941600004211068,1.1819162368774414,False
54,6,0.020000000000000018,0.0007754019989079097,1.182450294494629,True
55,20,0.04571428571428571,0.0007265719996212283,1.1818628311157227,True
56,7,0.014285714285714235,0.0007775300000503194,1.1826181411743164,True
57,14,0.08285714285714285,0.000783950999903027,1.1814584732055664,True
58,2,0.08285714285714285,0.0007292129994311836,1.181687355041504,False
59,1,0.008571428571428563,0.0007377319998340681,1.182785987854004,True
60,11,0.03428571428571425,0.0008256919991254108,1.1822595596313477,True
61,1,0.042857142857142816,0.0007790799991198583,1.182572364807129,False
62,20,0.02285714285714291,0.0007346780002990272,1.1825342178344727,True
