Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,307,0.0,0.0002587650014902465,0.7030725479125977,False
1,205,0.014814814814814836,0.00027147799846716225,0.7030420303344727,True
2,213,0.014814814814814836,0.00025591699886717834,0.7030420303344727,False
3,356,0.059259259259259234,0.00029108500166330487,0.7029504776000977,True
4,286,0.0,0.00026117900051758625,0.7030725479125977,True
5,51,0.011111111111111072,0.00025452100089751184,0.7030496597290039,True
6,289,0.059259259259259234,0.00029383400033111684,0.7029504776000977,True
7,89,0.01851851851851849,0.00030086300102993846,0.7030344009399414,True
8,104,0.033333333333333326,0.0002753160006250255,0.7030038833618164,False
9,56,0.04814814814814816,0.00027500500073074363,0.7029733657836914,False
10,11,0.040740740740740744,0.00029717100187554024,0.7029886245727539,False
11,432,0.011111111111111072,0.0002995610011566896,0.7030496597290039,True
12,98,0.059259259259259234,0.0002952680006274022,0.7029504776000977,False
13,36,0.022222222222222254,0.00025884900242090225,0.7030267715454102,True
14,44,0.0037037037037036535,0.00026032199821202084,0.7030649185180664,True
15,100,0.007407407407407418,0.0002592779965198133,0.7030572891235352,False
16,187,0.0,0.00026840999998967163,0.7030725479125977,True
17,372,0.014814814814814836,0.0002748790029727388,0.7030420303344727,True
18,159,0.059259259259259234,0.000260314998740796,0.7029504776000977,True
19,233,0.0037037037037036535,0.0002751609972619917,0.7030649185180664,False
20,30,0.022222222222222254,0.0002575149992480874,0.7030267715454102,True
21,24,0.0037037037037036535,0.0002542000001994893,0.7030649185180664,True
22,345,0.0,0.0002681379992282018,0.7030725479125977,True
23,331,0.007407407407407418,0.0002539429988246411,0.7030572891235352,True
24,391,0.022222222222222254,0.0002861300017684698,0.7030267715454102,True
25,92,0.011111111111111072,0.00027381200197851285,0.7030496597290039,False
26,390,0.011111111111111072,0.00027388899979996495,0.7030496597290039,True
27,56,0.040740740740740744,0.00028187600037199445,0.7029886245727539,True
28,52,0.0,0.0002549050004745368,0.7030725479125977,True
29,52,0.0,0.0005273559982015286,0.7030725479125977,True
30,3,0.0,0.0002623489999677986,0.7030725479125977,True
31,45,0.0,0.00027620699984254315,0.7030725479125977,True
32,211,0.0,0.0002541539979574736,0.7030725479125977,True
33,351,0.033333333333333326,0.0003023589997610543,0.7030038833618164,False
34,333,0.0037037037037036535,0.000265800001216121,0.7030649185180664,True
35,193,0.0,0.0002659009987837635,0.7030725479125977,True
36,372,0.011111111111111072,0.00026160200286540203,0.7030496597290039,True
37,172,0.0,0.0002643749976414256,0.7030725479125977,True
38,255,0.01851851851851849,0.0002544490016589407,0.7030344009399414,True
39,40,0.0,0.00033780300145735964,0.7030725479125977,True
40,286,0.0,0.00027263499941909686,0.7030725479125977,False
41,89,0.011111111111111072,0.00025608099895180203,0.7030496597290039,True
42,87,0.0444444444444444,0.00027359299929230474,0.7029809951782227,True
43,373,0.01851851851851849,0.0002590850017440971,0.7030344009399414,False
44,314,0.0,0.00026528200032771565,0.7030725479125977,True
45,248,0.08518518518518514,0.0002825780029525049,0.7028970718383789,True
46,60,0.022222222222222254,0.00025949499831767753,0.7030267715454102,True
47,213,0.0,0.0002777760018943809,0.7030725479125977,True
