Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,979,0.08799999999999997,0.0012800250005966518,2.409836769104004,True
1,2472,0.12,0.0012243790006323252,2.409287452697754,False
2,1354,0.06599999999999995,0.001213554001878947,2.4098596572875977,True
3,1070,0.07999999999999996,0.0012276459965505637,2.409623146057129,True
4,3371,0.07199999999999995,0.0012725560009130277,2.409897804260254,False
5,1049,0.06399999999999995,0.0012709369984804653,2.410080909729004,True
6,3371,0.06999999999999995,0.0012397419995977543,2.41018009185791,True
7,3175,0.06599999999999995,0.0012431059985829052,2.4100122451782227,True
8,2738,0.06799999999999995,0.001275522998184897,2.4100351333618164,True
9,512,0.040000000000000036,0.001248188997124089,2.410569190979004,False
10,352,0.09599999999999997,0.0012001520008197986,2.409073829650879,True
11,2023,0.08399999999999996,0.0012575620021380018,2.4098825454711914,True
12,195,0.08799999999999997,0.0012187499996798579,2.409897804260254,True
13,2769,0.06999999999999995,0.0012210639979457483,2.40987491607666,True
14,3298,0.07399999999999995,0.0012014460007776506,2.4100732803344727,True
15,2356,0.05800000000000005,0.0012392429998726584,2.4101037979125977,False
16,3391,0.07999999999999996,0.001226404001499759,2.409653663635254,True
17,1390,0.07999999999999996,0.0011950740008614957,2.409714698791504,True
18,2492,0.05400000000000005,0.0012333150007179938,2.410454750061035,True
19,2096,0.062000000000000055,0.001316432000749046,2.410393714904785,True
20,3440,0.05600000000000005,0.0012032820013700984,2.410019874572754,False
21,2551,0.10199999999999998,0.001239214001543587,2.40938663482666,True
22,77,0.06399999999999995,0.0012577210000017658,2.410660743713379,True
23,2492,0.06599999999999995,0.0012018320012430195,2.4101037979125977,False
24,3371,0.04400000000000004,0.0012182339996797964,2.4107065200805664,False
25,1049,0.09199999999999997,0.0013146130004315637,2.4093332290649414,True
26,1866,0.09199999999999997,0.0015487620003113989,2.4093027114868164,True
27,1028,0.118,0.0012409519986249506,2.409234046936035,True
28,1070,0.07199999999999995,0.0012437479999789502,2.410447120666504,True
29,2096,0.08199999999999996,0.00127002799854381,2.4100122451782227,True
30,513,0.08599999999999997,0.0012635639977816027,2.41024112701416,False
31,404,0.06399999999999995,0.0012410300005285535,2.410233497619629,True
32,2619,0.06999999999999995,0.0012031260012008715,2.410271644592285,True
33,975,0.06000000000000005,0.0012033940001856536,2.4098215103149414,False
34,630,0.126,0.0012219230011396576,2.409295082092285,False
35,3391,0.06399999999999995,0.0012030660000164062,2.410050392150879,False
36,519,0.07199999999999995,0.0012324199997237884,2.410050392150879,True
37,3391,0.06399999999999995,0.0012217680014146026,2.410080909729004,True
38,993,0.07999999999999996,0.001252603000466479,2.410569190979004,True
39,515,0.08399999999999996,0.0012068010000803042,2.4098215103149414,False
40,1895,0.10799999999999998,0.001219082001625793,2.4092721939086914,False
41,2096,0.06999999999999995,0.0011891200010722969,2.40963077545166,False
42,2356,0.07799999999999996,0.0012231100008648355,2.40999698638916,True
43,3371,0.050000000000000044,0.0012197219984955154,2.4104089736938477,True
44,3444,0.07999999999999996,0.001249134998943191,2.409867286682129,True
45,2866,0.05600000000000005,0.001188815000205068,2.410233497619629,True
46,3349,0.04600000000000004,0.0012433010015229229,2.410820960998535,True
47,3511,0.08199999999999996,0.0011935479997191578,2.4097375869750977,True
48,3444,0.08399999999999996,0.0012296589993638918,2.4093942642211914,False
49,1390,0.05600000000000005,0.0012011740000161808,2.409836769104004,True
50,404,0.04200000000000004,0.0012266800003999379,2.4104700088500977,True
51,972,0.08999999999999997,0.0012318549997871742,2.4096765518188477,False
52,3226,0.12,0.0012321879985393025,2.409043312072754,True
53,3313,0.07199999999999995,0.0012648320007428993,2.410111427307129,True
54,404,0.07799999999999996,0.0012650370008486789,2.410027503967285,True
55,1390,0.030000000000000027,0.0015861179999774322,2.410904884338379,True
56,404,0.06000000000000005,0.0012172990027465858,2.4098825454711914,True
57,1351,0.07199999999999995,0.0012311390019021928,2.410111427307129,True
58,790,0.06999999999999995,0.002487247002136428,2.41024112701416,True
59,267,0.06799999999999995,0.0012106499998481013,2.4095468521118164,False
60,3372,0.04200000000000004,0.001358798999717692,2.4108362197875977,True
61,404,0.06399999999999995,0.001242648999323137,2.409806251525879,False
62,3452,0.04800000000000004,0.0012431619979906827,2.410233497619629,False
63,1390,0.04600000000000004,0.0012192659996799193,2.410637855529785,True
64,1111,0.07199999999999995,0.0011853089999931399,2.409836769104004,False
65,2007,0.08599999999999997,0.001249244000064209,2.40944766998291,False
66,736,0.10999999999999999,0.0012243189994478598,2.409661293029785,True
67,404,0.038000000000000034,0.0012886460026493296,2.41091251373291,False
68,404,0.05600000000000005,0.0012330320023465902,2.410111427307129,True
69,3372,0.07599999999999996,0.0012547719998110551,2.4104623794555664,False
70,2875,0.08799999999999997,0.0011897249969479162,2.409379005432129,True
71,3511,0.06599999999999995,0.0015167270030360669,2.4103174209594727,True
72,515,0.08799999999999997,0.0012154069991083816,2.409958839416504,True
73,2061,0.06999999999999995,0.0012726819986710325,2.41072940826416,False
74,77,0.09799999999999998,0.0012188549990241881,2.40963077545166,False
75,3452,0.05800000000000005,0.0012226289982208982,2.4100732803344727,False
76,1463,0.11599999999999999,0.00122076000116067,2.4085397720336914,False
77,1484,0.07799999999999996,0.0015044239989947528,2.41018009185791,True
78,404,0.07199999999999995,0.001267443996766815,2.409684181213379,False
