Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,9,0.08102047874862311,0.0001457090002077166,0.19764423370361328,True
1,4,0.17599421560967743,0.00014131399984762538,0.19756031036376953,True
2,7,0.22607121876652742,0.0001480489991081413,0.19751453399658203,True
3,42,0.14946361047941342,0.00015049099965835921,0.19769001007080078,True
4,3,0.16691378281358715,0.00014302199997473508,0.19762134552001953,True
5,34,0.2685608054056722,0.00013514199963537976,0.19756793975830078,True
6,12,0.19180829552254464,0.00013999399925523903,0.19762134552001953,True
7,19,0.10733596695372688,0.00013698799921257887,0.19752216339111328,True
8,40,0.4800382584679667,0.0001447949998691911,0.19769001007080078,True
9,5,0.2070549715612729,0.0001426210001227446,0.19762897491455078,False
10,3,0.5541645554646722,0.00013813499936077278,0.19756793975830078,True
11,22,0.09952757041989456,0.0001717710001685191,0.19766712188720703,True
12,24,1.3380669177168119,0.00014513300084217917,0.19757556915283203,False
13,15,0.13535021336254255,0.00015716599955339916,0.19772052764892578,True
14,43,0.1083576965999286,0.00014441900020756293,0.19755268096923828,True
15,3,0.10436560677173423,0.00014029399972059764,0.19766712188720703,True
16,37,0.2670588644535247,0.00014518699936161283,0.19762897491455078,False
17,47,3.4698029974497597,0.00013759200010099448,0.19752979278564453,True
18,47,0.7502544741463808,0.000136255001052632,0.19756793975830078,True
19,1,0.12906861127380356,0.0001407409999956144,0.19758319854736328,True
20,42,0.2307893403239316,0.0001540930006740382,0.19771289825439453,True
21,19,0.17906692872746502,0.00014000999908603262,0.19749927520751953,True
22,2,0.36455490160829074,0.00015806400006113108,0.19772815704345703,True
23,48,0.28415809301468165,0.00016156899982888717,0.19772815704345703,True
24,42,0.10220135067048118,0.00013749999925494194,0.19758319854736328,True
25,39,0.17610519636583832,0.00014736100092704874,0.19767475128173828,True
26,11,0.082661365866015,0.00015969000014592893,0.19758319854736328,True
27,9,0.06977519158770817,0.00014306400044006296,0.19766712188720703,True
28,40,0.30708543804337224,0.00013766700067208149,0.19755268096923828,True
29,3,0.16756747664327046,0.00015241300025081728,0.19782733917236328,True
30,35,0.30349390066306703,0.0001623879998078337,0.19774341583251953,True
31,39,0.46789228605166117,0.0001514389987278264,0.19747638702392578,True
32,19,0.24799409821005797,0.00016025699915189762,0.19749927520751953,True
33,37,0.2935554716814995,0.0003173690001858631,0.19766712188720703,False
34,48,0.29150272908601055,0.00036622799962060526,0.19775104522705078,True
35,33,0.20578875081167264,0.00014156299948808737,0.19759082794189453,True
36,33,0.25829110506318276,0.00016908600082388148,0.19781970977783203,True
37,3,0.13645181383751873,0.00016428100025223102,0.19762897491455078,True
38,30,0.15799461874260853,0.00014410100084205624,0.19769763946533203,True
39,40,0.40169232193230464,0.00013770699843007606,0.19754505157470703,True
40,48,0.21774002232594214,0.0001485800003138138,0.19769001007080078,True
41,49,0.14926452197199594,0.00015041000006021932,0.19751453399658203,True
42,3,0.1055299451478261,0.0001635429998714244,0.19756793975830078,True
43,3,0.10210093563761218,0.00016094100101327058,0.19765186309814453,True
44,6,0.6654372284595589,0.0001484849999542348,0.19769763946533203,True
45,9,0.48223201459763204,0.00018433200057188515,0.19763660430908203,True
46,36,0.28634982626411803,0.00014474299860012252,0.19752979278564453,True
47,40,0.2520140720290173,0.00013451999984681606,0.19745349884033203,True
48,37,0.5942328489501586,0.00016992000018944964,0.19775867462158203,False
49,40,0.9645709363071743,0.00013960800060885958,0.19757556915283203,True
50,47,1.0296532675658985,0.00013248499999463093,0.19753742218017578,True
51,39,0.7897402580400826,0.00012717500067083165,0.19736194610595703,True
52,3,0.1523136478399214,0.00017143100012617651,0.19775867462158203,True
53,31,0.38238119595358777,0.0001394990013068309,0.19760608673095703,True
