,Adiac,ArrowHead,Beef,BeetleFly,BirdChicken,CBF,Car,ChlorineConcentration,CinCECGTorso,Coffee,Computers,CricketX,CricketY,CricketZ,DiatomSizeReduction,DistalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,DistalPhalanxTW,ECG200,ECG5000,ECGFiveDays,Earthquakes,ElectricDevices,FaceAll,FaceFour,FacesUCR,FiftyWords,Fish,FordA,FordB,GunPoint,Ham
Adiac,0.9999999999999999,0.9746794344808964,0.8207826816681233,0.8944271909999157,0.8944271909999157,0.6,0.8999999999999998,0.7,0.19999999999999998,0.8944271909999157,0.3,0.7,0.7,0.7,0.6,0.46169025843831935,0.15389675281277312,0.7,0.6,0.49999999999999994,0.3,0.20519567041703082,0.7,0.7,0.8999999999999998,0.7,0.7,0.7,0.19999999999999998,0.19999999999999998,0.7,0.7
ArrowHead,0.9746794344808963,1.0,0.9210526315789475,0.9176629354822471,0.9176629354822471,0.4103913408340617,0.8207826816681234,0.5642880936468347,0.10259783520851543,0.9176629354822471,0.35909242322980395,0.5642880936468347,0.5642880936468347,0.5642880936468347,0.6668859288553503,0.26315789473684215,0.15789473684210528,0.5642880936468347,0.6668859288553503,0.4103913408340617,0.35909242322980395,0.13157894736842107,0.5642880936468347,0.5642880936468347,0.8207826816681234,0.5642880936468347,0.5642880936468347,0.6668859288553503,0.10259783520851543,0.10259783520851543,0.6668859288553503,0.8207826816681234
Beef,0.8207826816681234,0.9210526315789475,1.0,0.9176629354822471,0.8029550685469662,0.05129891760425771,0.6668859288553503,0.20519567041703085,-0.15389675281277312,0.9176629354822471,0.5642880936468347,0.20519567041703085,0.20519567041703085,0.20519567041703085,0.8207826816681234,-0.07894736842105264,-0.026315789473684213,0.20519567041703085,0.6155870112510925,0.10259783520851543,0.35909242322980395,-0.15789473684210528,0.20519567041703085,0.20519567041703085,0.5642880936468347,0.20519567041703085,0.20519567041703085,0.6668859288553503,-0.15389675281277312,-0.15389675281277312,0.6668859288553503,0.8720815992723809
BeetleFly,0.8944271909999159,0.9176629354822471,0.9176629354822471,0.9999999999999999,0.7499999999999999,0.3354101966249684,0.8944271909999159,0.3354101966249684,-0.11180339887498948,0.9999999999999999,0.6708203932499368,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.8944271909999159,0.22941573387056177,-0.22941573387056177,0.3354101966249684,0.4472135954999579,0.11180339887498948,0.22360679774997896,-0.22941573387056177,0.3354101966249684,0.3354101966249684,0.6708203932499368,0.3354101966249684,0.3354101966249684,0.8944271909999159,-0.11180339887498948,-0.11180339887498948,0.8944271909999159,0.6708203932499368
BirdChicken,0.8944271909999159,0.9176629354822471,0.8029550685469662,0.7499999999999999,0.9999999999999999,0.4472135954999579,0.6708203932499368,0.6708203932499368,0.4472135954999579,0.7499999999999999,0.22360679774997896,0.6708203932499368,0.6708203932499368,0.6708203932499368,0.4472135954999579,0.34412360080584264,0.45883146774112354,0.6708203932499368,0.8944271909999159,0.6708203932499368,0.6708203932499368,0.22941573387056177,0.6708203932499368,0.6708203932499368,0.8944271909999159,0.6708203932499368,0.6708203932499368,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.8944271909999159
CBF,0.6,0.41039134083406165,0.051298917604257706,0.3354101966249684,0.44721359549995787,0.9999999999999999,0.7,0.8999999999999998,0.6,0.3354101966249684,-0.09999999999999999,0.8999999999999998,0.8999999999999998,0.8999999999999998,0.0,0.9746794344808964,0.20519567041703082,0.8999999999999998,0.19999999999999998,0.7,0.09999999999999999,0.41039134083406165,0.8999999999999998,0.8999999999999998,0.7999999999999999,0.8999999999999998,0.8999999999999998,0.39999999999999997,0.6,0.6,0.39999999999999997,0.0
Car,0.8999999999999998,0.8207826816681233,0.6668859288553501,0.8944271909999157,0.6708203932499368,0.7,0.9999999999999999,0.6,0.09999999999999999,0.8944271909999157,0.49999999999999994,0.6,0.6,0.6,0.7,0.6155870112510925,-0.20519567041703082,0.6,0.3,0.3,0.09999999999999999,-0.051298917604257706,0.6,0.6,0.7999999999999999,0.6,0.6,0.8999999999999998,0.09999999999999999,0.09999999999999999,0.8999999999999998,0.39999999999999997
ChlorineConcentration,0.7,0.5642880936468347,0.20519567041703082,0.3354101966249684,0.6708203932499368,0.8999999999999998,0.6,0.9999999999999999,0.7,0.3354101966249684,-0.3,0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.09999999999999999,0.8207826816681233,0.5642880936468347,0.9999999999999999,0.49999999999999994,0.8999999999999998,0.3,0.6668859288553501,0.9999999999999999,0.9999999999999999,0.8999999999999998,0.9999999999999999,0.9999999999999999,0.19999999999999998,0.7,0.7,0.19999999999999998,0.3
CinCECGTorso,0.19999999999999998,0.10259783520851541,-0.15389675281277312,-0.11180339887498947,0.44721359549995787,0.6,0.09999999999999999,0.7,0.9999999999999999,-0.11180339887498947,-0.3,0.7,0.7,0.7,-0.39999999999999997,0.6668859288553501,0.7181848464596079,0.7,0.6,0.8999999999999998,0.7,0.41039134083406165,0.7,0.7,0.6,0.7,0.7,-0.19999999999999998,0.9999999999999999,0.9999999999999999,-0.19999999999999998,0.19999999999999998
Coffee,0.8944271909999159,0.9176629354822471,0.9176629354822471,0.9999999999999999,0.7499999999999999,0.3354101966249684,0.8944271909999159,0.3354101966249684,-0.11180339887498948,0.9999999999999999,0.6708203932499368,0.3354101966249684,0.3354101966249684,0.3354101966249684,0.8944271909999159,0.22941573387056177,-0.22941573387056177,0.3354101966249684,0.4472135954999579,0.11180339887498948,0.22360679774997896,-0.22941573387056177,0.3354101966249684,0.3354101966249684,0.6708203932499368,0.3354101966249684,0.3354101966249684,0.8944271909999159,-0.11180339887498948,-0.11180339887498948,0.8944271909999159,0.6708203932499368
