Dataset,DTW,CDTW,LCSS,SDTW,ADTW
Adiac,0.270607 (+-0.000087),1.920931 (+-0.005644),0.300327 (+-0.000029),0.271843 (+-0.000004),0.270518 (+-0.000007)
ArrowHead,0.547728 (+-0.000153),3.908429 (+-0.001138),0.607432 (+-0.000067),0.548834 (+-0.000068),0.547133 (+-0.000052)
Beef,1.926057 (+-0.000947),13.698079 (+-0.001348),2.131311 (+-0.000088),1.930383 (+-0.001284),1.920466 (+-0.000062)
BeetleFly,2.291925 (+-0.001899),16.255244 (+-0.002095),2.534677 (+-0.001046),2.304120 (+-0.001187),2.280643 (+-0.001260)
BirdChicken,2.292765 (+-0.001587),16.256949 (+-0.002554),2.535455 (+-0.000965),2.290502 (+-0.003092),2.279122 (+-0.000835)
CBF,0.144504 (+-0.000038),1.018117 (+-0.003742),0.159951 (+-0.000027),0.145022 (+-0.000038),0.144255 (+-0.000026)
Car,2.896575 (+-0.000991),20.642078 (+-0.001013),3.208698 (+-0.000083),2.914341 (+-0.000755),2.891190 (+-0.000383)
ChlorineConcentration,0.240995 (+-0.000063),1.709078 (+-0.007197),0.267431 (+-0.000032),0.242117 (+-0.000026),0.240934 (+-0.000005)
CinCECGTorso,23.273292 (+-0.018056),166.569677 (+-0.018858),25.739540 (+-0.001706),23.334917 (+-0.008603),23.182869 (+-0.002967)
Coffee,0.716881 (+-0.000461),5.076019 (+-0.013302),0.793620 (+-0.000009),0.714961 (+-0.000015),0.711049 (+-0.000001)
Computers,4.502095 (+-0.005800),32.137655 (+-0.004673),4.987356 (+-0.001737),4.525486 (+-0.004493),4.497499 (+-0.002024)
CricketX,0.785352 (+-0.000538),5.585395 (+-0.001428),0.868569 (+-0.000084),0.786687 (+-0.000879),0.782946 (+-0.000218)
CricketY,0.785341 (+-0.000538),5.585230 (+-0.001144),0.868568 (+-0.000109),0.786960 (+-0.000743),0.782949 (+-0.000211)
CricketZ,0.785378 (+-0.000543),5.585241 (+-0.001348),0.868572 (+-0.000115),0.786726 (+-0.000872),0.782950 (+-0.000226)
DiatomSizeReduction,1.036536 (+-0.000432),7.378785 (+-0.001999),1.149228 (+-0.000197),1.043534 (+-0.000162),1.035573 (+-0.000231)
DistalPhalanxOutlineAgeGroup,0.057439 (+-0.000029),0.397584 (+-0.000323),0.063714 (+-0.000036),0.057977 (+-0.000000),0.057382 (+-0.000001)
DistalPhalanxOutlineCorrect,0.057449 (+-0.000032),0.406829 (+-0.106433),0.063724 (+-0.000039),0.057930 (+-0.000033),0.057382 (+-0.000003)
DistalPhalanxTW,0.057438 (+-0.000026),0.397660 (+-0.000566),0.063722 (+-0.000041),0.057977 (+-0.000001),0.057382 (+-0.000002)
ECG200,0.082153 (+-0.000047),0.573547 (+-0.003545),0.090904 (+-0.000026),0.082502 (+-0.000057),0.081930 (+-0.000021)
ECG5000,0.172470 (+-0.000073),1.217628 (+-0.000696),0.190939 (+-0.000026),0.173040 (+-0.000044),0.172068 (+-0.000026)
ECGFiveDays,0.162852 (+-0.000075),1.148939 (+-0.002751),0.180319 (+-0.000018),0.163449 (+-0.000018),0.162499 (+-0.000020)
Earthquakes,2.285605 (+-0.001024),16.258136 (+-0.001363),2.525901 (+-0.000698),2.292812 (+-0.001976),2.281651 (+-0.000635)
ElectricDevices,0.082001 (+-0.000070),0.572436 (+-0.001093),0.090875 (+-0.000024),0.082515 (+-0.000146),0.081951 (+-0.000026)
FaceAll,0.151149 (+-0.000107),1.065467 (+-0.000776),0.167449 (+-0.000024),0.151804 (+-0.000034),0.150953 (+-0.000032)
FaceFour,1.068274 (+-0.000710),7.597205 (+-0.001317),1.182254 (+-0.000326),1.073462 (+-0.000312),1.066599 (+-0.000505)
FacesUCR,0.151142 (+-0.000077),1.065912 (+-0.005539),0.167447 (+-0.000028),0.151824 (+-0.000031),0.150953 (+-0.000030)
FiftyWords,0.634680 (+-0.000322),4.522647 (+-0.000976),0.703028 (+-0.000061),0.636101 (+-0.000215),0.633598 (+-0.000192)
Fish,1.866496 (+-0.000851),13.290699 (+-0.006193),2.068495 (+-0.000027),1.879827 (+-0.000286),1.863833 (+-0.000080)
FordA,2.179554 (+-0.000973),15.502288 (+-0.001303),2.409972 (+-0.000637),2.191003 (+-0.000354),2.174680 (+-0.000765)
FordB,2.179595 (+-0.000838),15.504473 (+-0.017440),2.409993 (+-0.000462),2.190784 (+-0.000413),2.174641 (+-0.000584)
GunPoint,0.197616 (+-0.000086),1.397458 (+-0.005722),0.218830 (+-0.000014),0.198030 (+-0.000088),0.197177 (+-0.000012)
Ham,1.621390 (+-0.001140),11.521151 (+-0.001537),1.792710 (+-0.000234),1.629435 (+-0.000270),1.615975 (+-0.000281)
Mean,1.273772 (+-3.823161),13.095945 (+-37.111699),1.289781 (+-4.458190),1.169748 (+-4.041870),1.162184 (+-4.015473)
