Dataset,DTW,CDTW,LCSS,SDTW,ADTW,1NN,LinearSVM,Naive Bayes
Adiac,60.4,55.1,2.8,0.0,61.4,61.1,52.2,56.8
ArrowHead,72.0,72.0,42.3,22.3,81.1,80.0,78.3,54.9
Beef,63.3,66.7,33.3,6.7,66.7,66.7,83.3,66.7
BeetleFly,70.0,70.0,65.0,45.0,70.0,75.0,80.0,75.0
BirdChicken,75.0,75.0,75.0,40.0,80.0,55.0,70.0,55.0
CBF,99.6,99.8,95.9,25.7,99.1,85.2,88.0,89.4
Car,75.0,71.7,43.3,15.0,73.3,73.3,86.7,60.0
ChlorineConcentration,54.6,41.7,31.3,23.0,56.9,65.0,63.7,34.7
CinCECGTorso,73.3,35.1,93.2,15.2,84.5,89.7,51.0,87.3
Coffee,100.0,100.0,53.6,17.9,100.0,100.0,100.0,92.9
Computers,58.0,66.0,52.4,50.4,52.0,57.6,52.0,58.0
CricketX,77.2,62.8,71.8,8.2,80.3,57.7,35.9,38.7
CricketY,75.9,60.3,70.8,5.9,76.7,56.7,43.1,39.5
CricketZ,76.7,65.4,72.3,4.1,79.2,58.7,34.6,39.7
DiatomSizeReduction,96.4,96.7,30.1,0.7,94.1,93.5,96.4,86.6
DistalPhalanxOutlineAgeGroup,77.0,74.3,62.6,21.6,62.6,62.6,69.1,72.7
DistalPhalanxOutlineCorrect,71.7,70.3,61.2,41.7,71.4,71.7,67.8,67.4
DistalPhalanxTW,59.0,59.5,50.4,4.3,63.3,63.3,68.3,64.0
ECG200,82.0,84.0,88.0,33.0,89.0,88.0,82.0,77.0
ECG5000,92.5,92.0,92.9,4.4,93.1,92.5,93.6,88.2
ECGFiveDays,78.7,79.0,94.4,49.5,92.0,79.7,96.5,80.4
Earthquakes,68.3,62.2,68.3,71.2,72.7,71.2,64.7,67.6
ElectricDevices,59.7,50.0,53.8,14.4,62.1,55.1,50.9,51.6
FaceAll,78.6,72.6,75.6,0.3,80.0,71.4,75.2,69.2
FaceFour,83.0,80.7,81.8,18.2,90.9,78.4,86.4,86.4
FacesUCR,91.5,83.9,89.9,0.1,95.0,76.9,78.2,72.6
FiftyWords,76.0,70.3,68.6,0.2,79.6,63.1,65.3,56.5
Fish,82.9,82.3,14.9,5.1,79.4,78.3,85.7,66.3
FordA,55.4,54.7,71.1,49.8,64.1,66.5,48.6,49.2
FordB,60.9,63.1,65.2,48.5,61.2,60.6,48.5,53.5
GunPoint,94.0,93.3,73.3,49.3,91.3,91.3,88.7,78.7
Ham,49.5,53.3,52.4,46.7,58.1,60.0,60.0,74.3
Mean,74.6,70.7,62.4,23.1,76.9,72.1,70.1,66.0
