Dataset,DTW,CDTW,LCSS,SDTW,ADTW
Adiac,0.2 (+-0.0),19.5 (+-15.0),0.1 (+-0.0),0.5 (+-0.1),0.2 (+-0.0)
ArrowHead,0.3 (+-0.1),9.1 (+-4.4),0.2 (+-0.0),0.8 (+-0.1),0.3 (+-0.1)
Beef,1.0 (+-0.1),15.5 (+-5.7),1.1 (+-0.1),2.9 (+-0.3),1.4 (+-0.1)
BeetleFly,1.2 (+-0.1),16.2 (+-3.4),1.3 (+-0.2),4.3 (+-1.6),2.1 (+-0.3)
BirdChicken,1.2 (+-0.1),26.2 (+-5.8),1.4 (+-0.2),10.2 (+-2.4),2.2 (+-0.7)
CBF,0.1 (+-0.0),20.7 (+-11.2),0.1 (+-0.0),0.3 (+-0.1),0.2 (+-0.0)
Car,1.4 (+-0.1),27.1 (+-7.1),1.6 (+-0.1),4.5 (+-0.3),2.0 (+-0.1)
ChlorineConcentration,0.1 (+-0.0),17.5 (+-11.5),0.1 (+-0.0),0.5 (+-0.1),0.2 (+-0.0)
CinCECGTorso,10.0 (+-0.8),102.7 (+-16.2),11.3 (+-0.8),29.1 (+-1.9),11.3 (+-0.8)
Coffee,0.4 (+-0.1),8.9 (+-2.2),0.4 (+-0.1),1.2 (+-0.0),0.6 (+-0.2)
Computers,1.9 (+-0.2),57.9 (+-21.3),2.3 (+-0.2),6.6 (+-0.5),3.0 (+-0.5)
CricketX,0.4 (+-0.0),9.0 (+-3.8),0.4 (+-0.1),1.2 (+-0.1),0.6 (+-0.1)
CricketY,0.4 (+-0.1),17.2 (+-8.0),0.4 (+-0.1),1.3 (+-0.1),0.6 (+-0.1)
CricketZ,0.4 (+-0.1),28.1 (+-12.5),0.4 (+-0.1),1.3 (+-0.3),0.6 (+-0.1)
DiatomSizeReduction,0.6 (+-0.1),8.9 (+-3.1),0.6 (+-0.2),1.9 (+-0.3),0.8 (+-0.1)
DistalPhalanxOutlineAgeGroup,0.1 (+-0.0),30.6 (+-15.2),0.1 (+-0.0),0.2 (+-0.0),0.1 (+-0.0)
DistalPhalanxOutlineCorrect,0.1 (+-0.0),35.0 (+-20.8),0.1 (+-0.0),0.2 (+-0.0),0.1 (+-0.0)
DistalPhalanxTW,0.1 (+-0.0),9.8 (+-5.6),0.1 (+-0.0),0.2 (+-0.0),0.1 (+-0.0)
ECG200,0.1 (+-0.0),11.7 (+-6.7),0.2 (+-0.0),0.2 (+-0.0),0.1 (+-0.0)
ECG5000,0.1 (+-0.0),33.1 (+-18.6),0.1 (+-0.0),0.4 (+-0.1),0.2 (+-0.0)
ECGFiveDays,0.2 (+-0.0),19.7 (+-12.8),0.2 (+-0.0),0.4 (+-0.0),0.3 (+-0.0)
Earthquakes,1.3 (+-0.4),28.3 (+-10.4),1.3 (+-0.1),3.7 (+-0.3),1.9 (+-0.2)
ElectricDevices,0.1 (+-0.0),8.4 (+-4.4),0.1 (+-0.0),0.2 (+-0.0),0.1 (+-0.0)
FaceAll,0.1 (+-0.0),36.7 (+-18.9),0.1 (+-0.0),0.3 (+-0.1),0.2 (+-0.1)
FaceFour,0.8 (+-0.1),36.6 (+-17.4),0.8 (+-0.1),2.2 (+-0.2),1.1 (+-0.1)
FacesUCR,0.1 (+-0.0),10.4 (+-5.9),0.1 (+-0.0),0.3 (+-0.1),0.2 (+-0.0)
FiftyWords,0.3 (+-0.1),25.8 (+-15.8),0.3 (+-0.0),0.9 (+-0.1),0.4 (+-0.1)
Fish,0.9 (+-0.1),28.0 (+-19.4),1.2 (+-0.1),3.3 (+-0.3),1.5 (+-0.2)
FordA,1.2 (+-0.1),44.7 (+-18.8),1.3 (+-0.2),3.7 (+-0.3),1.7 (+-0.2)
FordB,1.2 (+-0.2),15.3 (+-5.3),1.3 (+-0.2),3.7 (+-0.3),1.7 (+-0.2)
GunPoint,0.2 (+-0.0),9.4 (+-5.6),0.1 (+-0.0),0.4 (+-0.1),0.2 (+-0.0)
Ham,0.9 (+-0.1),26.1 (+-12.0),1.1 (+-0.2),3.0 (+-0.3),1.3 (+-0.2)
Mean,0.6 (+-1.6),25.1 (+-24.3),0.6 (+-2.0),1.7 (+-5.1),0.7 (+-2.0)
