Dataset,DTW,CDTW,LCSS,SDTW,ADTW,1NN,LinearSVM,Naive Bayes
Adiac,0.0597,3.0491,0.0539,0.1941,0.0938,0.0234,0.0271,0.0439
ArrowHead,0.0531,1.5864,0.0372,0.1389,0.0611,0.0132,0.0057,0.0296
Beef,0.0301,0.4640,0.0324,0.0878,0.0431,0.0062,0.0059,0.0072
BeetleFly,0.0242,0.3236,0.0269,0.0851,0.0413,0.0097,0.0043,0.0060
BirdChicken,0.0246,0.5232,0.0284,0.2045,0.0445,0.0077,0.0059,0.0076
CBF,0.1105,9.3030,0.0888,0.2984,0.1631,0.0134,0.0054,0.0047
Car,0.0828,1.6260,0.0967,0.2728,0.1183,0.0151,0.0052,0.0075
ChlorineConcentration,0.2745,6.7063,0.2524,0.8701,0.4246,0.0123,0.0439,0.0139
CinCECGTorso,6.9021,28.3496,7.8225,20.0521,7.8026,0.0104,0.0175,0.0541
Coffee,0.0106,0.2489,0.0102,0.0325,0.0158,0.0096,0.0049,0.0055
Computers,0.4761,2.8950,0.5771,1.6617,0.7560,0.0074,0.0224,0.0054
CricketX,0.1718,0.7007,0.1523,0.4854,0.2268,0.0114,0.0257,0.0077
CricketY,0.1734,1.3396,0.1536,0.4879,0.2301,0.0075,0.0288,0.0094
CricketZ,0.1752,2.1917,0.1578,0.4969,0.2278,0.0092,0.0291,0.0077
DiatomSizeReduction,0.1703,2.7110,0.1752,0.5703,0.2539,0.0050,0.0077,0.0055
DistalPhalanxOutlineAgeGroup,0.0107,2.1449,0.0105,0.0273,0.0164,0.0093,0.0118,0.0040
DistalPhalanxOutlineCorrect,0.0221,4.8275,0.0204,0.0549,0.0329,0.0133,0.0096,0.0040
DistalPhalanxTW,0.0103,1.0859,0.0104,0.0276,0.0165,0.0115,0.0090,0.0058
ECG200,0.0097,1.1650,0.0226,0.0229,0.0138,0.0081,0.0068,0.0059
ECG5000,0.6401,7.4423,0.4632,1.6488,0.8655,0.0128,0.0167,0.0192
ECGFiveDays,0.1567,16.9554,0.1364,0.3745,0.2338,0.0047,0.0035,0.0047
Earthquakes,0.1764,3.1362,0.1790,0.5203,0.2677,0.0053,0.0273,0.0055
ElectricDevices,0.3361,3.9617,0.3005,0.8869,0.5407,0.1447,16.9122,0.0355
FaceAll,0.2044,3.0816,0.1744,0.5785,0.3069,0.0071,0.0327,0.0110
FaceFour,0.0667,3.2223,0.0674,0.1953,0.0939,0.0099,0.0070,0.0081
FacesUCR,0.2500,2.1339,0.2073,0.7002,0.3716,0.0053,0.0142,0.0138
FiftyWords,0.1472,2.3509,0.1228,0.4290,0.1984,0.0068,0.0455,0.0347
Fish,0.1542,4.8970,0.2073,0.5792,0.2589,0.0056,0.0071,0.0072
FordA,3.8163,4.7414,0.8448,2.4227,1.1232,0.0377,9.1485,0.0221
FordB,0.9485,0.9918,1.0383,2.9573,1.3864,0.0325,9.1568,0.0167
GunPoint,0.0229,1.4041,0.0174,0.0576,0.0323,0.0076,0.0062,0.0062
Ham,0.0997,2.7443,0.1141,0.3147,0.1399,0.0318,0.0047,0.0050
Total,15.8111,128.3042,13.6021,37.7361,16.4018,0.5154,35.6592,0.4250
